indication_mesh_id	indication_mesh_term	category_2015	area_2023
D019896	alpha 1-Antitrypsin Deficiency	Respiratory	congenital
D019896	alpha 1-Antitrypsin Deficiency	Respiratory	signs/symptoms
D018746	Systemic Inflammatory Response Syndrome	Inflammation	signs/symptoms
D018352	Coronavirus Infections	Infection	infection
D003586	Cytomegalovirus Infections	Infection	infection
D020031	Epstein-Barr Virus Infections	Infection	infection
D012899	Smallpox	Infection	infection
D007248	Infertility, Male	Urogenital	other
D059373	Mastodynia	Neurological/behavioral	signs/symptoms
D008595	Menorrhagia	Urogenital	signs/symptoms
D011293	Premenstrual Syndrome	Urogenital	signs/symptoms
D014627	Vaginitis	Urogenital	other
D023903	Coronary Restenosis	Cardiovascular	cardiovascular
D004211	Disseminated Intravascular Coagulation	Blood	hematology
D006470	Hemorrhage	Blood	signs/symptoms
D006561	Herpes Simplex	Infection	infection
D006561	Herpes Simplex	Infection	dermatology
D011655	Pulmonary Embolism	Respiratory	respiratory
D011655	Pulmonary Embolism	Respiratory	cardiovascular
D013921	Thrombocytopenia	Blood	hematology
D013924	Thrombophlebitis	Cardiovascular	cardiovascular
D013927	Thrombosis	Cardiovascular	cardiovascular
D014689	Venous Insufficiency	Cardiovascular	cardiovascular
D020246	Venous Thrombosis	Cardiovascular	cardiovascular
D005177	Factor XIII Deficiency	Blood	
D020152	Antithrombin III Deficiency	Blood	hematology
D020152	Antithrombin III Deficiency	Blood	congenital
D007020	Hypoprothrombinemias	Blood	hematology
D007020	Hypoprothrombinemias	Blood	congenital
D055959	Intervertebral Disc Degeneration	Musculoskeletal	
D014842	von Willebrand Diseases	Blood	hematology
D014842	von Willebrand Diseases	Blood	congenital
D018316	Gliosarcoma	Oncology	oncology
D016553	Purpura, Thrombocytopenic, Idiopathic	Autoimmune	hematology
D016553	Purpura, Thrombocytopenic, Idiopathic	Autoimmune	immune
D016553	Purpura, Thrombocytopenic, Idiopathic	Autoimmune	signs/symptoms
D010392	Pemphigus	Skin & connective tissue	dermatology
D010392	Pemphigus	Skin & connective tissue	immune
D000347	Afibrinogenemia	Blood	hematology
D000347	Afibrinogenemia	Blood	congenital
D012774	Shock, Traumatic	Neurological/behavioral	signs/symptoms
D017674	Hypophosphatemia	Metabolic	metabolic
D010518	Periodontitis	Infection	other
D013922	Thrombocytosis	Blood	hematology
D014376	Tuberculosis	Infection	infection
D006009	Glycogen Storage Disease Type II	Metabolic	neurology
D006009	Glycogen Storage Disease Type II	Metabolic	congenital
D006009	Glycogen Storage Disease Type II	Metabolic	metabolic
D033461	Hyperuricemia	Metabolic	
D008607	Intellectual Disability	Neurological/behavioral	
D016584	Panic Disorder	Neurological/behavioral	psychiatry
D012893	Sleep Wake Disorders	Neurological/behavioral	neurology
D012893	Sleep Wake Disorders	Neurological/behavioral	signs/symptoms
D012893	Sleep Wake Disorders	Neurological/behavioral	psychiatry
D009085	Mucopolysaccharidosis IV	Metabolic	congenital
D009085	Mucopolysaccharidosis IV	Metabolic	dermatology
D009085	Mucopolysaccharidosis IV	Metabolic	metabolic
D005776	Gaucher Disease	Metabolic	neurology
D005776	Gaucher Disease	Metabolic	congenital
D005776	Gaucher Disease	Metabolic	metabolic
D002543	Cerebral Hemorrhage	Neurological/behavioral	neurology
D002543	Cerebral Hemorrhage	Neurological/behavioral	cardiovascular
D002543	Cerebral Hemorrhage	Neurological/behavioral	signs/symptoms
D007003	Hypoglycemia	Metabolic	metabolic
D019578	Multiple System Atrophy	Neurological/behavioral	neurology
D004392	Dwarfism	Musculoskeletal	musculoskeletal
D004392	Dwarfism	Musculoskeletal	congenital
D004392	Dwarfism	Musculoskeletal	endocrine
D004393	Dwarfism, Pituitary	Musculoskeletal	musculoskeletal
D004393	Dwarfism, Pituitary	Musculoskeletal	neurology
D004393	Dwarfism, Pituitary	Musculoskeletal	endocrine
D009634	Noonan Syndrome	Musculoskeletal	musculoskeletal
D009634	Noonan Syndrome	Musculoskeletal	cardiovascular
D009634	Noonan Syndrome	Musculoskeletal	congenital
D009634	Noonan Syndrome	Musculoskeletal	dermatology
D011218	Prader-Willi Syndrome	Neurological/behavioral	neurology
D011218	Prader-Willi Syndrome	Neurological/behavioral	congenital
D011218	Prader-Willi Syndrome	Neurological/behavioral	metabolic
D008060	Lipodystrophy	Skin & connective tissue	dermatology
D008060	Lipodystrophy	Skin & connective tissue	metabolic
D000856	Anorexia Nervosa	Neurological/behavioral	psychiatry
D000795	Fabry Disease	Metabolic	neurology
D000795	Fabry Disease	Metabolic	cardiovascular
D000795	Fabry Disease	Metabolic	congenital
D000795	Fabry Disease	Metabolic	metabolic
D016640	Diabetes, Gestational	Diabetes	
D005348	Fibrocystic Breast Disease	Skin & connective tissue	dermatology
D006177	Gynecomastia	Skin & connective tissue	dermatology
D007889	Leiomyoma	Oncology	oncology
D010262	Paraphilic Disorders	Neurological/behavioral	psychiatry
D012131	Respiratory Insufficiency	Respiratory	respiratory
D015526	AIDS Dementia Complex	Infection	infection
D015526	AIDS Dementia Complex	Infection	neurology
D015526	AIDS Dementia Complex	Infection	immune
D015526	AIDS Dementia Complex	Infection	psychiatry
D004644	Emotions	Neurological/behavioral	
D004421	Dystonia	Neurological/behavioral	neurology
D004421	Dystonia	Neurological/behavioral	signs/symptoms
D009069	Movement Disorders	Neurological/behavioral	
D013789	Thalassemia	Blood	hematology
D013789	Thalassemia	Blood	congenital
D009404	Nephrotic Syndrome	Urogenital	other
D056912	Binge-Eating Disorder	Neurological/behavioral	psychiatry
D005621	Friedreich Ataxia	Neurological/behavioral	neurology
D005621	Friedreich Ataxia	Neurological/behavioral	congenital
D005621	Friedreich Ataxia	Neurological/behavioral	metabolic
D014581	Urticaria	Skin & connective tissue	dermatology
D014581	Urticaria	Skin & connective tissue	immune
D008209	Lymphedema	Blood	hematology
D013919	Thromboangiitis Obliterans	Cardiovascular	cardiovascular
D020176	Tyrosinemias	Neurological/behavioral	neurology
D020176	Tyrosinemias	Neurological/behavioral	congenital
D020176	Tyrosinemias	Neurological/behavioral	metabolic
D003027	Cluster Headache	Neurological/behavioral	neurology
D003231	Conjunctivitis	Eye	ophthalmology
D004485	Eczema	Skin & connective tissue	dermatology
D010033	Otitis Media	Inflammation	other
D002385	Cataplexy	Neurological/behavioral	neurology
D002385	Cataplexy	Neurological/behavioral	psychiatry
D009290	Narcolepsy	Neurological/behavioral	neurology
D009290	Narcolepsy	Neurological/behavioral	psychiatry
D009771	Obsessive-Compulsive Disorder	Neurological/behavioral	psychiatry
D016532	Mucopolysaccharidosis II	Neurological/behavioral	neurology
D016532	Mucopolysaccharidosis II	Neurological/behavioral	congenital
D016532	Mucopolysaccharidosis II	Neurological/behavioral	dermatology
D016532	Mucopolysaccharidosis II	Neurological/behavioral	metabolic
D008059	Mucopolysaccharidosis I	Metabolic	congenital
D008059	Mucopolysaccharidosis I	Metabolic	dermatology
D008059	Mucopolysaccharidosis I	Metabolic	metabolic
D004660	Encephalitis	Infection	neurology
D015673	Fatigue Syndrome, Chronic	Infection	infection
D015673	Fatigue Syndrome, Chronic	Infection	musculoskeletal
D015673	Fatigue Syndrome, Chronic	Infection	neurology
D003699	Hepatitis D	Infection	infection
D003699	Hepatitis D	Infection	digestive
D006562	Herpes Zoster	Infection	infection
D010031	Otitis	Inflammation	
D010411	Penile Induration	Urogenital	dermatology
D010850	Picornaviridae Infections	Infection	infection
D011469	Prostatic Diseases	Urogenital	
D012141	Respiratory Tract Infections	Infection	infection
D012141	Respiratory Tract Infections	Infection	respiratory
D012514	Sarcoma, Kaposi	Infection	oncology
D013281	Stomatitis, Aphthous	Skin & connective tissue	other
D002578	Uterine Cervical Dysplasia	Oncology	oncology
D014777	Virus Diseases	Infection	infection
D006105	Granulomatous Disease, Chronic	Blood	hematology
D006105	Granulomatous Disease, Chronic	Blood	congenital
D006105	Granulomatous Disease, Chronic	Blood	immune
D010022	Osteopetrosis	Musculoskeletal	musculoskeletal
D015266	Carcinoma, Merkel Cell	Infection	oncology
D057765	Eosinophilic Esophagitis	Autoimmune	digestive
D057765	Eosinophilic Esophagitis	Autoimmune	hematology
D057765	Eosinophilic Esophagitis	Autoimmune	immune
D001528	Behcet Syndrome	Autoimmune	ophthalmology
D001528	Behcet Syndrome	Autoimmune	cardiovascular
D001528	Behcet Syndrome	Autoimmune	congenital
D001528	Behcet Syndrome	Autoimmune	dermatology
D011111	Polymyalgia Rheumatica	Musculoskeletal	musculoskeletal
D011111	Polymyalgia Rheumatica	Musculoskeletal	dermatology
D015210	Arthritis, Gouty	Autoimmune	musculoskeletal
D015210	Arthritis, Gouty	Autoimmune	congenital
D015210	Arthritis, Gouty	Autoimmune	metabolic
D056587	Cryopyrin-Associated Periodic Syndromes	Metabolic	congenital
D056587	Cryopyrin-Associated Periodic Syndromes	Metabolic	dermatology
D010505	Familial Mediterranean Fever	Inflammation	congenital
D015423	Scleritis	Eye	ophthalmology
D002006	Brucellosis	Infection	
D002177	Candidiasis	Infection	infection
D002690	Chlamydia Infections	Infection	infection
D006482	Hemorrhagic Fevers, Viral	Infection	infection
D007918	Leprosy	Infection	infection
D008587	Meningitis, Viral	Infection	
D010019	Osteomyelitis	Musculoskeletal	
D012852	Sinusitis	Respiratory	infection
D012852	Sinusitis	Respiratory	respiratory
D009298	Nasal Polyps	Respiratory	respiratory
D009298	Nasal Polyps	Respiratory	signs/symptoms
D007153	Immunologic Deficiency Syndromes	Inflammation	immune
D007968	Leukoencephalopathy, Progressive Multifocal	Infection	infection
D007968	Leukoencephalopathy, Progressive Multifocal	Infection	neurology
D001989	Bronchiolitis Obliterans	Respiratory	respiratory
D018357	Respiratory Syncytial Virus Infections	Infection	infection
D058065	Diabetic Cardiomyopathies	Cardiovascular	cardiovascular
D058065	Diabetic Cardiomyopathies	Cardiovascular	endocrine
D003328	Coronary Thrombosis	Cardiovascular	cardiovascular
D015223	Wolman Disease	Metabolic	congenital
D015223	Wolman Disease	Metabolic	metabolic
D002062	Bursitis	Musculoskeletal	musculoskeletal
D003015	Clostridium Infections	Infection	
D008363	alpha-Mannosidosis	Metabolic	congenital
D008363	alpha-Mannosidosis	Metabolic	metabolic
D000267	Tissue Adhesions	Blood	
D014820	Vitiligo	Skin & connective tissue	dermatology
D002544	Cerebral Infarction	Neurological/behavioral	neurology
D002544	Cerebral Infarction	Neurological/behavioral	cardiovascular
D002544	Cerebral Infarction	Neurological/behavioral	signs/symptoms
D009021	Morphine Dependence	Neurological/behavioral	
D003320	Corneal Ulcer	Infection	infection
D003320	Corneal Ulcer	Infection	ophthalmology
D004820	Epidermolysis Bullosa	Skin & connective tissue	congenital
D004820	Epidermolysis Bullosa	Skin & connective tissue	dermatology
D007238	Infarction	Cardiovascular	
D014890	Granulomatosis with Polyangiitis	Autoimmune	respiratory
D014890	Granulomatosis with Polyangiitis	Autoimmune	cardiovascular
D014890	Granulomatosis with Polyangiitis	Autoimmune	immune
D020178	Sleep Disorders, Circadian Rhythm	Neurological/behavioral	neurology
D020178	Sleep Disorders, Circadian Rhythm	Neurological/behavioral	psychiatry
D006223	Hamartoma Syndrome, Multiple	Oncology	oncology
D018192	Lymphangioleiomyomatosis	Oncology	oncology
D017253	Neurofibromatoses	Oncology	oncology
D013203	Staphylococcal Infections	Infection	infection
D013290	Streptococcal Infections	Infection	infection
D014402	Tuberous Sclerosis	Oncology	oncology
D009084	Mucopolysaccharidosis III	Metabolic	congenital
D009084	Mucopolysaccharidosis III	Metabolic	dermatology
D009084	Mucopolysaccharidosis III	Metabolic	metabolic
D000257	Adenoviridae Infections	Infection	
D001260	Ataxia Telangiectasia	Neurological/behavioral	neurology
D001260	Ataxia Telangiectasia	Neurological/behavioral	cardiovascular
D001260	Ataxia Telangiectasia	Neurological/behavioral	congenital
D001260	Ataxia Telangiectasia	Neurological/behavioral	metabolic
D001260	Ataxia Telangiectasia	Neurological/behavioral	immune
D001762	Blepharitis	Eye	ophthalmology
D002825	Chorioretinitis	Eye	
D003440	Croup	Respiratory	
D004892	Erythema Multiforme	Autoimmune	
D015817	Eye Infections	Infection	infection
D015817	Eye Infections	Infection	ophthalmology
D005313	Fetal Death	Urogenital	
D007169	Impetigo	Infection	infection
D007169	Impetigo	Infection	dermatology
D008548	Melanosis	Skin & connective tissue	dermatology
D009080	Mucocutaneous Lymph Node Syndrome	Autoimmune	cardiovascular
D009080	Mucocutaneous Lymph Node Syndrome	Autoimmune	hematology
D009080	Mucocutaneous Lymph Node Syndrome	Autoimmune	dermatology
D010032	Otitis Externa	Inflammation	
D012170	Retinal Vein Occlusion	Eye	ophthalmology
D012170	Retinal Vein Occlusion	Eye	cardiovascular
D012713	Serum Sickness	Skin & connective tissue	
D013036	Spasms, Infantile	Neurological/behavioral	neurology
D015430	Weight Gain	Neurological/behavioral	signs/symptoms
D020918	Complex Regional Pain Syndromes	Neurological/behavioral	neurology
D002032	Bulimia	Neurological/behavioral	signs/symptoms
D006473	Postpartum Hemorrhage	Urogenital	signs/symptoms
D039141	Muscular Dystrophy, Oculopharyngeal	Musculoskeletal	musculoskeletal
D039141	Muscular Dystrophy, Oculopharyngeal	Musculoskeletal	neurology
D039141	Muscular Dystrophy, Oculopharyngeal	Musculoskeletal	congenital
D008582	Meningitis, Aseptic	Infection	
D055665	Purpura Fulminans	Blood	
D007039	Hypotrichosis	Skin & connective tissue	
D004238	Diverticulitis	Infection	digestive
D004374	Ductus Arteriosus, Patent	Cardiovascular	cardiovascular
D004374	Ductus Arteriosus, Patent	Cardiovascular	congenital
D001471	Barrett Esophagus	Oncology	oncology
D019559	Capillary Leak Syndrome	Cardiovascular	cardiovascular
D000783	Aneurysm	Cardiovascular	cardiovascular
D014901	West Nile Fever	Infection	infection
D014901	West Nile Fever	Infection	neurology
D012203	Rh Isoimmunization	Blood	
D057130	Leber Congenital Amaurosis	Eye	ophthalmology
D020277	Polyradiculoneuropathy, Chronic Inflammatory Demyelinating	Neurological/behavioral	neurology
D020277	Polyradiculoneuropathy, Chronic Inflammatory Demyelinating	Neurological/behavioral	immune
D001997	Bronchopulmonary Dysplasia	Respiratory	respiratory
D001997	Bronchopulmonary Dysplasia	Respiratory	congenital
D008471	Meconium Aspiration Syndrome	Respiratory	respiratory
D008471	Meconium Aspiration Syndrome	Respiratory	congenital
D012127	Respiratory Distress Syndrome, Newborn	Respiratory	respiratory
D012127	Respiratory Distress Syndrome, Newborn	Respiratory	congenital
D004916	Erythromelalgia	Cardiovascular	cardiovascular
D002239	Carbohydrate Metabolism, Inborn Errors	Metabolic	congenital
D002239	Carbohydrate Metabolism, Inborn Errors	Metabolic	metabolic
D054559	Hyperphosphatemia	Metabolic	metabolic
D056650	Vulvodynia	Urogenital	other
D009542	Niemann-Pick Diseases	Neurological/behavioral	neurology
D009542	Niemann-Pick Diseases	Neurological/behavioral	hematology
D009542	Niemann-Pick Diseases	Neurological/behavioral	congenital
D009542	Niemann-Pick Diseases	Neurological/behavioral	metabolic
D011855	Radiodermatitis	Skin & connective tissue	
D010013	Osteogenesis Imperfecta	Musculoskeletal	musculoskeletal
D010013	Osteogenesis Imperfecta	Musculoskeletal	congenital
D010013	Osteogenesis Imperfecta	Musculoskeletal	dermatology
D008303	Malignant Carcinoid Syndrome	Oncology	oncology
D010911	Pituitary Neoplasms	Oncology	oncology
D019121	Burkholderia Infections	Infection	infection
D020301	Vasospasm, Intracranial	Neurological/behavioral	neurology
D020301	Vasospasm, Intracranial	Neurological/behavioral	cardiovascular
D011654	Pulmonary Edema	Respiratory	respiratory
D005134	Eye Neoplasms	Oncology	oncology
D009472	Neuronal Ceroid-Lipofuscinoses	Neurological/behavioral	neurology
D009472	Neuronal Ceroid-Lipofuscinoses	Neurological/behavioral	congenital
D009472	Neuronal Ceroid-Lipofuscinoses	Neurological/behavioral	metabolic
D020754	Spinocerebellar Ataxias	Neurological/behavioral	neurology
D020754	Spinocerebellar Ataxias	Neurological/behavioral	congenital
D015356	Retinal Artery Occlusion	Eye	ophthalmology
D015356	Retinal Artery Occlusion	Eye	cardiovascular
D007057	Ichthyosis	Skin & connective tissue	congenital
D007057	Ichthyosis	Skin & connective tissue	dermatology
D007642	Keratosis	Skin & connective tissue	
D012080	Chronic Kidney Disease-Mineral and Bone Disorder	Liver & kidney	musculoskeletal
D012080	Chronic Kidney Disease-Mineral and Bone Disorder	Liver & kidney	metabolic
D012080	Chronic Kidney Disease-Mineral and Bone Disorder	Liver & kidney	endocrine
D014808	Vitamin D Deficiency	Metabolic	metabolic
D014923	Wiskott-Aldrich Syndrome	Blood	hematology
D014923	Wiskott-Aldrich Syndrome	Blood	congenital
D014923	Wiskott-Aldrich Syndrome	Blood	immune
C537477			other
D000007	Abdominal Injuries		other
D000015	Abnormalities, Multiple		congenital
D000022	Abortion, Spontaneous		other
D000068884	Immunosenescence		immune
D000070607	Morton Neuroma		musculoskeletal
D000070607	Morton Neuroma		neurology
D000070607	Morton Neuroma		signs/symptoms
D000070627	Chronic Traumatic Encephalopathy		neurology
D000070642	Brain Injuries, Traumatic		neurology
D000071057	Tardive Dyskinesia		neurology
D000071057	Tardive Dyskinesia		signs/symptoms
D000071243	Zika Virus Infection		infection
D000071700	Cone-Rod Dystrophies		ophthalmology
D000071700	Cone-Rod Dystrophies		congenital
D000072661	Ciliopathies		congenital
D000072716	Cancer Pain		signs/symptoms
D000072742	Invasive Fungal Infections		infection
D000072861	Phobia, Social		psychiatry
D000073376	Epileptic Syndromes		neurology
D000073496	Frailty		signs/symptoms
D000075262	Hypoadrenocorticism, Familial		endocrine
D000075363	Immunoglobulin Light-chain Amyloidosis		oncology
D000077295	Urinary Bladder, Underactive		signs/symptoms
D000077299	Healthcare-Associated Pneumonia		infection
D000077299	Healthcare-Associated Pneumonia		respiratory
D000077299	Healthcare-Associated Pneumonia		signs/symptoms
D000077733	Immunoglobulin G4-Related Disease		immune
D000079689	Opioid-Induced Constipation		signs/symptoms
D000079689	Opioid-Induced Constipation		psychiatry
D000079690	Postoperative Cognitive Complications		signs/symptoms
D000079690	Postoperative Cognitive Complications		psychiatry
D000080365	Birdshot Chorioretinopathy		ophthalmology
D000080365	Birdshot Chorioretinopathy		immune
D000080424	Cytokine Release Syndrome		signs/symptoms
D000080984	Congenital Bone Marrow Failure Syndromes		hematology
D000080984	Congenital Bone Marrow Failure Syndromes		congenital
D000081207	Primary Immunodeficiency Diseases		congenital
D000081207	Primary Immunodeficiency Diseases		immune
D000086382	COVID-19		infection
D000086382	COVID-19		respiratory
D000138	Acidosis		metabolic
D000224	Addison Disease		endocrine
D000224	Addison Disease		immune
D000258	Adenovirus Infections, Human		infection
D000292	Pelvic Inflammatory Disease		infection
D000361	Agammaglobulinemia		hematology
D000361	Agammaglobulinemia		immune
D000417	Albinism		ophthalmology
D000417	Albinism		congenital
D000417	Albinism		dermatology
D000417	Albinism		metabolic
D000435	Alcoholic Intoxication		psychiatry
D000506	Alopecia Areata		dermatology
D000542	Alveolitis, Extrinsic Allergic		respiratory
D000542	Alveolitis, Extrinsic Allergic		immune
D000550	Amblyopia		neurology
D000550	Amblyopia		ophthalmology
D000550	Amblyopia		signs/symptoms
D000627	Aminophenols		other
D000647	Amnesia		neurology
D000647	Amnesia		signs/symptoms
D000647	Amnesia		psychiatry
D000707	Anaphylaxis		immune
D000745	Anemia, Hemolytic, Congenital		hematology
D000745	Anemia, Hemolytic, Congenital		congenital
D000746	Anemia, Hemolytic, Congenital Nonspherocytic		hematology
D000746	Anemia, Hemolytic, Congenital Nonspherocytic		congenital
D000758	Anesthesia		other
D000762	Anesthesia Recovery Period		other
D001026	Coronary Artery Bypass		other
D001068	Feeding and Eating Disorders		psychiatry
D001165	Arteriovenous Malformations		cardiovascular
D001165	Arteriovenous Malformations		congenital
D001201	Ascites		signs/symptoms
D001228	Aspergillosis		infection
D001259	Ataxia		neurology
D001259	Ataxia		signs/symptoms
D001424	Bacterial Infections		infection
D001478	Basal Cell Nevus Syndrome		oncology
D001650	Bile Duct Neoplasms		oncology
D001656	Biliary Atresia		digestive
D001656	Biliary Atresia		congenital
D001763	Blepharoptosis		ophthalmology
D001764	Blepharospasm		ophthalmology
D001766	Blindness		neurology
D001766	Blindness		ophthalmology
D001766	Blindness		signs/symptoms
D001845	Bone Cysts		oncology
D001848	Bone Diseases, Developmental		musculoskeletal
D001850	Bone Diseases, Infectious		infection
D001850	Bone Diseases, Infectious		musculoskeletal
D001855	Bone Marrow Diseases		hematology
D001861	Bone Regeneration		musculoskeletal
D001883	Borderline Personality Disorder		psychiatry
D001906	Botulism		infection
D001906	Botulism		neurology
D001919	Bradycardia		cardiovascular
D001919	Bradycardia		signs/symptoms
D001927	Brain Diseases		neurology
D001930	Brain Injuries		neurology
D002056	Burns		other
D002189	Marijuana Abuse		psychiatry
D002294	Carcinoma, Squamous Cell		oncology
D002526	Cerebellar Diseases		neurology
D002607	Charcot-Marie-Tooth Disease		neurology
D002607	Charcot-Marie-Tooth Disease		congenital
D002761	Cholangitis		digestive
D002771	Cholera		infection
D002780	Cholestasis, Intrahepatic		digestive
D002813	Chondrosarcoma		oncology
D002817	Chordoma		oncology
D002872	Chromosome Deletion		signs/symptoms
D002925	Ciliary Motility Disorders		respiratory
D002925	Ciliary Motility Disorders		congenital
D003047	Coccidioidomycosis		infection
D003072	Cognition Disorders		psychiatry
D003139	Common Cold		infection
D003139	Common Cold		respiratory
D003248	Constipation		signs/symptoms
D003267	Contraception		other
D003316	Corneal Diseases		ophthalmology
D003317	Corneal Dystrophies, Hereditary		ophthalmology
D003317	Corneal Dystrophies, Hereditary		congenital
D003414	Crigler-Najjar Syndrome		congenital
D003414	Crigler-Najjar Syndrome		metabolic
D003453	Cryptococcosis		infection
D003456	Cryptorchidism		congenital
D003456	Cryptorchidism		endocrine
D003457	Cryptosporidiosis		infection
D003457	Cryptosporidiosis		digestive
D003528	Carcinoma, Adenoid Cystic		oncology
D003554	Cystinosis		congenital
D003554	Cystinosis		metabolic
D003680	Deglutition Disorders		digestive
D003693	Delirium		neurology
D003693	Delirium		signs/symptoms
D003693	Delirium		psychiatry
D003715	Dengue		infection
D003865	Depressive Disorder, Major		psychiatry
D003872	Dermatitis		dermatology
D003882	Dermatomyositis		musculoskeletal
D003882	Dermatomyositis		neurology
D003882	Dermatomyositis		dermatology
D003920	Diabetes Mellitus		metabolic
D003920	Diabetes Mellitus		endocrine
D003967	Diarrhea		signs/symptoms
D004357	Drug Synergism		other
D004381	Duodenal Ulcer		digestive
D004402	Dysautonomia, Familial		neurology
D004402	Dysautonomia, Familial		congenital
D004409	Dyskinesia, Drug-Induced		neurology
D004409	Dyskinesia, Drug-Induced		signs/symptoms
D004414	Dyspareunia		psychiatry
D004415	Dyspepsia		signs/symptoms
D004427	Ear Diseases		other
D004476	Ectodermal Dysplasia		congenital
D004476	Ectodermal Dysplasia		dermatology
D004535	Ehlers-Danlos Syndrome		cardiovascular
D004535	Ehlers-Danlos Syndrome		hematology
D004535	Ehlers-Danlos Syndrome		congenital
D004535	Ehlers-Danlos Syndrome		dermatology
D004672	Encephalitis, Japanese		infection
D004672	Encephalitis, Japanese		neurology
D004673	Encephalomyelitis, Acute Disseminated		neurology
D004673	Encephalomyelitis, Acute Disseminated		immune
D004685	Encephalomyelitis, Venezuelan Equine		infection
D004685	Encephalomyelitis, Venezuelan Equine		neurology
D004686	Encephalomyocarditis virus		infection
D004696	Endocarditis		cardiovascular
D004700	Endocrine System Diseases		endocrine
D004829	Epilepsy, Generalized		neurology
D004831	Epilepsies, Myoclonic		neurology
D004832	Epilepsy, Absence		neurology
D004931	Esophageal Achalasia		digestive
D004932	Esophageal and Gastric Varices		digestive
D004941	Esophagitis		digestive
D004942	Esophagitis, Peptic		digestive
D005131	Eye Injuries		neurology
D005131	Eye Injuries		ophthalmology
D005168	Factor VII Deficiency		hematology
D005168	Factor VII Deficiency		congenital
D005173	Factor XI Deficiency		hematology
D005173	Factor XI Deficiency		congenital
D005199	Fanconi Anemia		hematology
D005199	Fanconi Anemia		congenital
D005199	Fanconi Anemia		metabolic
D005221	Fatigue		signs/symptoms
D005235	Fatty Liver, Alcoholic		digestive
D005242	Fecal Incontinence		digestive
D005261	Female Urogenital Diseases and Pregnancy Complications		other
D005315	Fetal Diseases		congenital
D005401	Fissure in Ano		digestive
D005642	Fuchs' Endothelial Dystrophy		ophthalmology
D005642	Fuchs' Endothelial Dystrophy		congenital
D005693	Galactosemias		neurology
D005693	Galactosemias		congenital
D005693	Galactosemias		metabolic
D005756	Gastritis		digestive
D005759	Gastroenteritis		digestive
D005764	Gastroesophageal Reflux		digestive
D005767	Gastrointestinal Diseases		digestive
D005769	Gastrointestinal Motility		digestive
D005909	Glioblastoma		oncology
D005922	Glomerulonephritis, IGA		immune
D005923	Glomerulosclerosis, Focal Segmental		other
D005953	Glycogen Storage Disease Type I		congenital
D005953	Glycogen Storage Disease Type I		metabolic
D006008	Glycogen Storage Disease		congenital
D006008	Glycogen Storage Disease		metabolic
D006011	Glycogen Storage Disease Type IV		congenital
D006011	Glycogen Storage Disease Type IV		metabolic
D006042	Goiter		endocrine
D006069	Gonorrhea		infection
D006073	Gout		musculoskeletal
D006073	Gout		congenital
D006073	Gout		metabolic
D006084	Graft Rejection		immune
D006086	Graft vs Host Disease		immune
D006192	Haemophilus Infections		infection
D006330	Heart Defects, Congenital		cardiovascular
D006330	Heart Defects, Congenital		congenital
D006432	Hemochromatosis		congenital
D006432	Hemochromatosis		metabolic
D006457	Hemoglobinuria, Paroxysmal		hematology
D006461	Hemolysis		signs/symptoms
D006501	Hepatic Encephalopathy		digestive
D006501	Hepatic Encephalopathy		neurology
D006501	Hepatic Encephalopathy		metabolic
D006505	Hepatitis		digestive
D006506	Hepatitis A		infection
D006506	Hepatitis A		digestive
D006519	Hepatitis, Alcoholic		digestive
D006527	Hepatolenticular Degeneration		digestive
D006527	Hepatolenticular Degeneration		neurology
D006527	Hepatolenticular Degeneration		congenital
D006527	Hepatolenticular Degeneration		metabolic
D006530	Hepatorenal Syndrome		digestive
D006623	von Hippel-Lindau Disease		neurology
D006623	von Hippel-Lindau Disease		cardiovascular
D006623	von Hippel-Lindau Disease		congenital
D006646	Histiocytosis, Langerhans-Cell		respiratory
D006646	Histiocytosis, Langerhans-Cell		hematology
D006712	Homocystinuria		neurology
D006712	Homocystinuria		congenital
D006712	Homocystinuria		dermatology
D006712	Homocystinuria		metabolic
D006929	Hyperaldosteronism		endocrine
D006932	Hyperbilirubinemia		signs/symptoms
D006938	Hyperlipoproteinemia Type II		congenital
D006938	Hyperlipoproteinemia Type II		metabolic
D006946	Hyperinsulinism		metabolic
D006961	Hyperparathyroidism		endocrine
D006962	Hyperparathyroidism, Secondary		endocrine
D006965	Hyperplasia		signs/symptoms
D006975	Hypertension, Portal		digestive
D006980	Hyperthyroidism		endocrine
D006984	Hypertrophy		signs/symptoms
D006985	Hyperventilation		respiratory
D006985	Hyperventilation		signs/symptoms
D007006	Hypogonadism		endocrine
D007011	Hypoparathyroidism		endocrine
D007014	Hypophosphatasia		congenital
D007014	Hypophosphatasia		metabolic
D007027	Hypothalamic Diseases		neurology
D007035	Hypothermia		signs/symptoms
D007037	Hypothyroidism		endocrine
D007383	Intermittent Claudication		cardiovascular
D007383	Intermittent Claudication		signs/symptoms
D007403	Intervertebral Disc		musculoskeletal
D007405	Intervertebral Disc Displacement		musculoskeletal
D007405	Intervertebral Disc Displacement		signs/symptoms
D007562	Creutzfeldt-Jakob Syndrome		infection
D007562	Creutzfeldt-Jakob Syndrome		neurology
D007562	Creutzfeldt-Jakob Syndrome		psychiatry
D007565	Jaundice		signs/symptoms
D007589	Job Syndrome		hematology
D007589	Job Syndrome		congenital
D007589	Job Syndrome		immune
D007592	Joint Diseases		musculoskeletal
D007627	Keloid		dermatology
