area	gene	indication_mesh_id	indication_mesh_term	assoc_year
infection	CHRM3	D029481	Bronchitis, Chronic	2019
infection	IFNAR2	D000086382	COVID-19	2020
infection	IL33	D012852	Sinusitis	2021
infection	TNFRSF1A	D018805	Sepsis	2020
infection	TSLP	D012852	Sinusitis	2021
endocrine	CALCR	D003920	Diabetes Mellitus	2021
endocrine	CALCR	D003924	Diabetes Mellitus, Type 2	2020
endocrine	ESR1	D004700	Endocrine System Diseases	2020
endocrine	FBP1	D003924	Diabetes Mellitus, Type 2	2020
endocrine	FGFR1	D003924	Diabetes Mellitus, Type 2	2020
endocrine	FGFR4	D003924	Diabetes Mellitus, Type 2	2019
endocrine	GIPR	D003924	Diabetes Mellitus, Type 2	2017
endocrine	GLP1R	D003920	Diabetes Mellitus	2021
endocrine	GLP1R	D003924	Diabetes Mellitus, Type 2	2019
endocrine	GLP2R	D003924	Diabetes Mellitus, Type 2	2017
endocrine	IL2RA	D003922	Diabetes Mellitus, Type 1	2011
endocrine	IL7R	D003922	Diabetes Mellitus, Type 1	2021
endocrine	INSR	D003924	Diabetes Mellitus, Type 2	2018
endocrine	KCNJ11	D003924	Diabetes Mellitus, Type 2	2007
endocrine	MAPK14	D003929	Diabetic Neuropathies	2017
endocrine	MAPK14	D017719	Diabetic Foot	2017
endocrine	MC4R	D003920	Diabetes Mellitus	2021
endocrine	MC4R	D003924	Diabetes Mellitus, Type 2	2014
endocrine	METAP2	D003924	Diabetes Mellitus, Type 2	2020
endocrine	NOX4	D003928	Diabetic Nephropathies	2018
endocrine	PPARG	D003924	Diabetes Mellitus, Type 2	2012
endocrine	SLC5A1	D003920	Diabetes Mellitus	2021
endocrine	TACR3	D004700	Endocrine System Diseases	2020
endocrine	VEGFA	D003924	Diabetes Mellitus, Type 2	2018
respiratory	ADORA1	D001249	Asthma	2016
respiratory	ADORA1	D029424	Pulmonary Disease, Chronic Obstructive	2016
respiratory	ADRB2	D001249	Asthma	2019
respiratory	ADRB2	D029424	Pulmonary Disease, Chronic Obstructive	2019
respiratory	CHRM3	D001249	Asthma	2017
respiratory	CHRM3	D029424	Pulmonary Disease, Chronic Obstructive	2017
respiratory	CHRM3	D029481	Bronchitis, Chronic	2019
respiratory	CHRM3	D065631	Rhinitis, Allergic	2017
respiratory	FGFR3	D001249	Asthma	2018
respiratory	GATA3	D001249	Asthma	2018
respiratory	GATA3	D029424	Pulmonary Disease, Chronic Obstructive	2018
respiratory	HCRTR1	D029424	Pulmonary Disease, Chronic Obstructive	2018
respiratory	IFNAR2	D000086382	COVID-19	2020
respiratory	IL13	D001249	Asthma	2011
respiratory	IL13	D029424	Pulmonary Disease, Chronic Obstructive	2017
respiratory	IL1R1	D029424	Pulmonary Disease, Chronic Obstructive	2015
respiratory	IL33	D001249	Asthma	2010
respiratory	IL33	D009298	Nasal Polyps	2019
respiratory	IL33	D012852	Sinusitis	2021
respiratory	IL33	D029424	Pulmonary Disease, Chronic Obstructive	2010
respiratory	IL33	D065631	Rhinitis, Allergic	2010
respiratory	IL4R	D001249	Asthma	2019
respiratory	IL4R	D029424	Pulmonary Disease, Chronic Obstructive	2019
respiratory	IL4R	D065631	Rhinitis, Allergic	2019
respiratory	IL6	D001249	Asthma	2019
respiratory	MMP12	D001249	Asthma	2014
respiratory	NFKB1	D001249	Asthma	2018
respiratory	NR3C1	D001249	Asthma	2018
respiratory	NR3C1	D029424	Pulmonary Disease, Chronic Obstructive	2018
respiratory	NR3C1	D065631	Rhinitis, Allergic	2018
respiratory	PDE3A	D001249	Asthma	2018
respiratory	PDE3A	D029424	Pulmonary Disease, Chronic Obstructive	2018
respiratory	PDE4D	D001249	Asthma	2009
respiratory	PDE4D	D029424	Pulmonary Disease, Chronic Obstructive	2009
respiratory	PDE4D	D065631	Rhinitis, Allergic	2009
respiratory	RARG	D029424	Pulmonary Disease, Chronic Obstructive	2018
respiratory	TNFSF15	D001249	Asthma	2021
respiratory	TNFSF4	D001249	Asthma	2016
respiratory	TNFSF4	D065631	Rhinitis, Allergic	2016
respiratory	TSLP	D001249	Asthma	2011
respiratory	TSLP	D009298	Nasal Polyps	2019
respiratory	TSLP	D012852	Sinusitis	2021
respiratory	TSLP	D029424	Pulmonary Disease, Chronic Obstructive	2011
metabolic	ABCA1	D006949	Hyperlipidemias	2010
metabolic	ADRB1	D006949	Hyperlipidemias	2020
metabolic	ADRB2	D006949	Hyperlipidemias	2021
metabolic	ANGPTL4	D015228	Hypertriglyceridemia	2020
metabolic	ANGPTL8	D006949	Hyperlipidemias	2018
metabolic	APOA1	D006937	Hypercholesterolemia	2020
metabolic	APOA1	D006938	Hyperlipoproteinemia Type II	2020
metabolic	APOA1	D006949	Hyperlipidemias	2020
metabolic	APOE	D006938	Hyperlipoproteinemia Type II	2012
metabolic	CALCR	D003920	Diabetes Mellitus	2021
metabolic	CALCR	D003924	Diabetes Mellitus, Type 2	2020
metabolic	CALCR	D009765	Obesity	2015
metabolic	CETP	D006937	Hypercholesterolemia	2009
metabolic	CETP	D006938	Hyperlipoproteinemia Type II	2009
metabolic	CETP	D006949	Hyperlipidemias	2009
metabolic	DGAT2	D006949	Hyperlipidemias	2018
metabolic	ENPP1	D017674	Hypophosphatemia	2018
metabolic	ESR1	D010024	Osteoporosis	2008
metabolic	FBP1	D003924	Diabetes Mellitus, Type 2	2020
metabolic	FDFT1	D006949	Hyperlipidemias	2020
metabolic	FGF21	D015228	Hypertriglyceridemia	2020
metabolic	FGFR1	D003924	Diabetes Mellitus, Type 2	2020
metabolic	FGFR1	D009765	Obesity	2018
metabolic	FGFR4	D003924	Diabetes Mellitus, Type 2	2019
metabolic	FGFR4	D009765	Obesity	2021
metabolic	GFRAL	D009765	Obesity	2017
metabolic	GIPR	D003924	Diabetes Mellitus, Type 2	2017
metabolic	GIPR	D009765	Obesity	2012
metabolic	GLP1R	D003920	Diabetes Mellitus	2021
metabolic	GLP1R	D003924	Diabetes Mellitus, Type 2	2019
metabolic	GLP1R	D009765	Obesity	2021
metabolic	GLP2R	D003924	Diabetes Mellitus, Type 2	2017
metabolic	HCAR3	D006937	Hypercholesterolemia	2021
metabolic	HCAR3	D006949	Hyperlipidemias	2021
metabolic	HMGCR	D006937	Hypercholesterolemia	2008
metabolic	HMGCR	D006949	Hyperlipidemias	2008
metabolic	HMGCR	D050171	Dyslipidemias	2008
metabolic	HTR1A	D009765	Obesity	2015
metabolic	IGF1	D024821	Metabolic Syndrome	2010
metabolic	IL2RA	D003922	Diabetes Mellitus, Type 1	2011
metabolic	IL7R	D003922	Diabetes Mellitus, Type 1	2021
metabolic	INSR	D003924	Diabetes Mellitus, Type 2	2018
metabolic	INSR	D009765	Obesity	2015
metabolic	KCNJ11	D003924	Diabetes Mellitus, Type 2	2007
metabolic	LPA	D006949	Hyperlipidemias	2009
metabolic	LPL	D015228	Hypertriglyceridemia	2008
metabolic	MAPK1	D009765	Obesity	2018
metabolic	MC1R	D000417	Albinism	2007
metabolic	MC4R	D003920	Diabetes Mellitus	2021
metabolic	MC4R	D003924	Diabetes Mellitus, Type 2	2014
metabolic	MC4R	D009765	Obesity	2008
metabolic	MC4R	D024821	Metabolic Syndrome	2019
metabolic	METAP2	D003924	Diabetes Mellitus, Type 2	2020
metabolic	NPC1L1	D006949	Hyperlipidemias	2010
metabolic	NPC1L1	D050171	Dyslipidemias	2010
metabolic	NPY	D009765	Obesity	2018
metabolic	NR1H3	D006937	Hypercholesterolemia	2021
metabolic	NR1H4	D006937	Hypercholesterolemia	2021
metabolic	NR1H4	D006949	Hyperlipidemias	2021
metabolic	NR1H4	D015228	Hypertriglyceridemia	2021
metabolic	NR3C1	D009765	Obesity	2021
metabolic	OPRM1	D009765	Obesity	2018
metabolic	PCSK9	D006937	Hypercholesterolemia	2008
metabolic	PCSK9	D006938	Hyperlipoproteinemia Type II	2008
metabolic	PCSK9	D006949	Hyperlipidemias	2008
metabolic	PDE3A	D015228	Hypertriglyceridemia	2018
metabolic	PDE4B	D015228	Hypertriglyceridemia	2021
metabolic	PPARA	D006937	Hypercholesterolemia	2020
metabolic	PPARA	D006938	Hyperlipoproteinemia Type II	2020
metabolic	PPARA	D006949	Hyperlipidemias	2020
metabolic	PPARA	D009765	Obesity	2021
metabolic	PPARA	D015228	Hypertriglyceridemia	2020
metabolic	PPARA	D050171	Dyslipidemias	2020
metabolic	PPARD	D009765	Obesity	2021
metabolic	PPARG	D003924	Diabetes Mellitus, Type 2	2012
metabolic	PPARG	D006073	Gout	2020
metabolic	PPARG	D006949	Hyperlipidemias	2013
metabolic	PPARG	D009765	Obesity	2017
metabolic	PPARG	D015228	Hypertriglyceridemia	2013
metabolic	PPARG	D024821	Metabolic Syndrome	2015
metabolic	SLC10A2	D006937	Hypercholesterolemia	2021
metabolic	SLC10A2	D006949	Hyperlipidemias	2021
metabolic	SLC22A12	D006073	Gout	2012
metabolic	SLC5A1	D003920	Diabetes Mellitus	2021
metabolic	SLC6A4	D009765	Obesity	2018
metabolic	SOST	D001851	Bone Diseases, Metabolic	2008
metabolic	SOST	D010024	Osteoporosis	2008
metabolic	THRB	D006937	Hypercholesterolemia	2018
metabolic	THRB	D006938	Hyperlipoproteinemia Type II	2018
metabolic	VEGFA	D003924	Diabetes Mellitus, Type 2	2018
hematology	ACVRL1	D000740	Anemia	2018
hematology	BCL11A	D000755	Anemia, Sickle Cell	2009
hematology	BCL11A	D013789	Thalassemia	2009
hematology	BCL2	D000740	Anemia	2016
hematology	CSF3	D009503	Neutropenia	2016
hematology	CSF3R	D007970	Leukopenia	2016
hematology	CXCR4	D001778	Blood Coagulation Disorders	2020
hematology	DYRK3	D000740	Anemia	2018
hematology	EGLN1	D000740	Anemia	2016
hematology	EGLN2	D000740	Anemia	2016
hematology	EGLN3	D000740	Anemia	2020
hematology	EPOR	D000740	Anemia	2021
hematology	F10	D001778	Blood Coagulation Disorders	2013
hematology	F11	D001778	Blood Coagulation Disorders	2012
hematology	FCGRT	D013921	Thrombocytopenia	2020
hematology	FCGRT	D016553	Purpura, Thrombocytopenic, Idiopathic	2020
hematology	FLT3	D013921	Thrombocytopenia	2020
hematology	FLT3	D013922	Thrombocytosis	2020
hematology	IL12B	D012507	Sarcoidosis	2015
hematology	IL13	D057765	Eosinophilic Esophagitis	2011
hematology	IL4R	D057765	Eosinophilic Esophagitis	2016
hematology	IL5RA	D017681	Hypereosinophilic Syndrome	2016
hematology	IL5RA	D057765	Eosinophilic Esophagitis	2016
hematology	JAK1	D013922	Thrombocytosis	2020
hematology	JAK2	D013921	Thrombocytopenia	2016
hematology	KIT	D013921	Thrombocytopenia	2010
hematology	KIT	D017681	Hypereosinophilic Syndrome	2018
hematology	NR3C1	D057765	Eosinophilic Esophagitis	2020
hematology	PIK3CA	D013922	Thrombocytosis	2018
hematology	PIK3CB	D013922	Thrombocytosis	2020
hematology	S1PR1	D057765	Eosinophilic Esophagitis	2016
hematology	S1PR4	D057765	Eosinophilic Esophagitis	2016
hematology	SLC40A1	D000740	Anemia	2016
hematology	SYK	D016553	Purpura, Thrombocytopenic, Idiopathic	2018
hematology	VWF	D006467	Hemophilia A	2010
