uid	similarity	catnum	ti_uid	gene	indication_mesh_id	indication_mesh_term	hcat	acat	ccat	hcatnum	acatnum	ccatnum	succ_p_1	succ_1_2	succ_2_3	succ_3_a	orphan	year_launch	arow	assoc_mesh_id	assoc_mesh_term	assoc_source	assoc_info	original_trait	original_link	assoc_year	pic_qtl_pval	pic_h4	af_gnomad_nfe	l2g_share	l2g_rank	tia	cat	assoc_share	assoc_rank	source_name	gwas_source	min_assoc_year	abs_beta	abs_or	highest_phase_with_known_outcome	areas	genetic_insight	target_status	launched
CSF3R-D007970	1	5	CSF3R-D007970	CSF3R	D007970	Leukopenia	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE		119422	D007970	Leukopenia	OTG		White blood cell count	https://genetics.opentargets.org/study/GCST004610	2016			0.577539755552635	0.78	1	CSF3R-D007970-D007970	Launched	0.78	1	GWAS	GWAS Catalog	2016	0.04220662		3	hematology	both	genetically supported target	TRUE
CSF3R-D009503	1	5	CSF3R-D009503	CSF3R	D009503	Neutropenia	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	2016	119446	D009503	Neutropenia	OTG		Neutrophil count	https://genetics.opentargets.org/study/GCST004629	2016			0.577539755552635	0.78	1	CSF3R-D009503-D009503	Launched	0.78	1	GWAS	GWAS Catalog	2016	0.04766949		3	hematology	both	genetically supported target	TRUE
CTLA4-D001172	1	2	CTLA4-D001172	CTLA4	D001172	Arthritis, Rheumatoid	Phase I	Phase I	Phase I	2	3	2	TRUE	FALSE			FALSE		121081	D001172	Arthritis, Rheumatoid	OTG		Rheumatoid arthritis	https://genetics.opentargets.org/study/GCST000420	2009			0.550637854725332	0.86	1	CTLA4-D001172-D001172	Phase I	0.86	1	GWAS	GWAS Catalog	2009		1.17	1	musculoskeletal, dermatology, immune	gwas	genetically supported target	FALSE
CYP11B2-D006973	1	3	CYP11B2-D006973	CYP11B2	D006973	Hypertension	Phase II	Phase II	Phase II	3	4	3	TRUE	TRUE	FALSE		FALSE		124949	D006973	Hypertension	OTG		Systolic blood pressure	https://genetics.opentargets.org/study/GCST90025968	2021			0.418804531840083	0.51	1	CYP11B2-D006973-D006973	Phase II	0.51	1	GWAS	GWAS Catalog	2021	0.0177372999999999		2	cardiovascular	both	genetically supported target	FALSE
CYP24A1-D006962	0.829	3	CYP24A1-D006962	CYP24A1	D006962	Hyperparathyroidism, Secondary	Phase II	Preclinical	Phase II	3	2	3	TRUE	TRUE	FALSE		FALSE		125564	D010279	Parathyroid Diseases	OTG		Serum parathyroid hormone levels	https://genetics.opentargets.org/study/GCST003879	2016			0.196977558697626	0.61	1	CYP24A1-D006962-D010279	Phase II	0.61	1	GWAS	GWAS Catalog	2016	4		2	endocrine	both	genetically supported target	FALSE
CYP2A6-D014029	1	2	CYP2A6-D014029	CYP2A6	D014029	Tobacco Use Disorder	Phase I		Phase I	2		2	TRUE	FALSE			FALSE		126202	D014029	Tobacco Use Disorder	OTG		Nicotine dependence	https://genetics.opentargets.org/study/GCST011754	2020			0.574475022825095	0.72	1	CYP2A6-D014029-D014029	Phase I	0.72	1	GWAS	GWAS Catalog	2020	0.031		1	psychiatry	gwas	genetically supported target	FALSE
DGAT2-D006949	0.906	2	DGAT2-D006949	DGAT2	D006949	Hyperlipidemias	Phase I		Phase I	2		2	TRUE	FALSE			FALSE		133706	D006937	Hypercholesterolemia	OTG		Total cholesterol levels	https://genetics.opentargets.org/study/GCST006614	2018			0.112287310040265	0.54	1	DGAT2-D006949-D006937	Phase I	0.54	1	GWAS	GWAS Catalog	2018	0.0243		1	metabolic	both	genetically supported target	FALSE
DPEP1-D058186	0.865	3	DPEP1-D058186	DPEP1	D058186	Acute Kidney Injury	Phase II	Phase II	Phase II	3	4	3	TRUE	TRUE	FALSE		FALSE		142341	D051437	Renal Insufficiency	OTG		Serum creatinine levels	https://genetics.opentargets.org/study/GCST90018979	2021			0.480412916887242	0.66	1	DPEP1-D058186-D051437	Phase II	0.66	1	GWAS	GWAS Catalog	2021	0.0194		2	other	gwas	genetically supported target	FALSE
DRD2-D001714	1	3	DRD2-D001714	DRD2	D001714	Bipolar Disorder	Phase II		Phase II	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE		143586	D001714	Bipolar Disorder	OTG		Bipolar disorder (MTAG)	https://genetics.opentargets.org/study/GCST010641	2020			0.319370365552231	0.78	1	DRD2-D001714-D001714	Phase II	0.78	1	GWAS	GWAS Catalog	2020			3	psychiatry	gwas	genetically supported target	FALSE
DRD2-D012559	1	5	DRD2-D012559	DRD2	D012559	Schizophrenia	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	2020	143627	D012559	Schizophrenia	OTG		Schizophrenia	https://genetics.opentargets.org/study/GCST002539	2014			0.319370365552231	0.78	1	DRD2-D012559-D012559	Launched	0.78	1	GWAS	GWAS Catalog	2014		1.0787486999999998	3	psychiatry	gwas	genetically supported target	TRUE
DYRK3-D000740	1	2	DYRK3-D000740	DYRK3	D000740	Anemia	Phase I		Phase I	2		2	TRUE	FALSE			FALSE		145900	D000740	Anemia	OTG		Mean corpuscular hemoglobin	https://genetics.opentargets.org/study/GCST007068	2018			0.567702913631634	0.67	1	DYRK3-D000740-D000740	Phase I	0.67	1	GWAS	GWAS Catalog	2018			1	hematology	both	genetically supported target	FALSE
EDNRB-D005770	0.867	2	EDNRB-D005770	EDNRB	D005770	Gastrointestinal Neoplasms	Phase I		Phase I	2		2	TRUE	FALSE			FALSE		148011	D015179	Colorectal Neoplasms	OTG		Colorectal cancer	https://genetics.opentargets.org/study/GCST007992	2019			0.879052206743914	0.93	1	EDNRB-D005770-D015179	Phase I	0.93	1	GWAS	GWAS Catalog	2019		1.11	1	oncology	both	genetically supported target	FALSE
EGFR-D005909	1	4	EGFR-D005909	EGFR	D005909	Glioblastoma	Phase III	Phase III	Phase III	4	5	4	TRUE	TRUE	TRUE	FALSE	TRUE		149803	D005909	Glioblastoma	OTG		Glioblastoma	https://genetics.opentargets.org/study/GCST003220	2015			0.0921999738254155	0.53	1	EGFR-D005909-D005909	Phase III	0.53	1	GWAS	GWAS Catalog	2015		1.59	3	oncology	both	genetically supported target	FALSE
EGFR-D008527	0.851	4	EGFR-D008527	EGFR	D008527	Medulloblastoma	Phase III	Phase III	Phase III	4	5	4	TRUE	TRUE	TRUE	FALSE	TRUE		149816	D005910	Glioma	OTG		Glioma	https://genetics.opentargets.org/study/GCST003228	2015			0.0921999738254155	0.54	1	EGFR-D008527-D005910	Phase III	0.54	1	GWAS	GWAS Catalog	2015		1.42	3	oncology	both	genetically supported target	FALSE
EGLN2-D000740	1	5	EGLN2-D000740	EGLN2	D000740	Anemia	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE		149889	D000740	Anemia	OTG		Hemoglobin concentration	https://genetics.opentargets.org/study/GCST004615	2016			0.0163785259326661	0.62	1	EGLN2-D000740-D000740	Launched	0.62	1	GWAS	GWAS Catalog	2016	0.08824054		3	hematology	both	genetically supported target	TRUE
ENPP1-D017674	1	3	ENPP1-D017674	ENPP1	D017674	Hypophosphatemia	Phase II	Phase II	Phase II	3	4	3	TRUE	TRUE	FALSE		TRUE		154787	D017674	Hypophosphatemia	OTG		Phosphorus levels	https://genetics.opentargets.org/study/GCST005981	2018			0.0907320872274143	0.6	1	ENPP1-D017674-D017674	Phase II	0.6	1	GWAS	GWAS Catalog	2018			2	metabolic	both	genetically supported target	FALSE
EPAS1-D007680	0.913	5	EPAS1-D007680	EPAS1	D007680	Kidney Neoplasms	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	TRUE	2021	155723	D002292	Carcinoma, Renal Cell	OTG		Renal cell carcinoma	https://genetics.opentargets.org/study/GCST000907	2010			0.597388253638254	0.88	1	EPAS1-D007680-D002292	Launched	0.88	1	GWAS	GWAS Catalog	2010			3	oncology	both	genetically supported target	TRUE
EPOR-D000740	1	5	EPOR-D000740	EPOR	D000740	Anemia	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE		156995	D000740	Anemia	OTG		Mean corpuscular hemoglobin concentration	https://genetics.opentargets.org/study/GCST90025962	2021			0.0101961293674503	0.65	1	EPOR-D000740-D000740	Launched	0.65	1	GWAS	GWAS Catalog	2021	0.0619314		3	hematology	both	genetically supported target	TRUE
ESR1-D001943	1	5	ESR1-D001943	ESR1	D001943	Breast Neoplasms	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	TRUE		159702	D001943	Breast Neoplasms	OTG		Breast cancer	https://genetics.opentargets.org/study/GCST001683	2012			0.0795174471397068	0.81	1	ESR1-D001943-D001943	Launched	0.81	1	GWAS	GWAS Catalog	2012		1.28	3	oncology	both	genetically supported target	TRUE
ESR1-D004700	1	3	ESR1-D004700	ESR1	D004700	Endocrine System Diseases	Phase II	Phase II	Phase II	3	4	3	TRUE	TRUE	FALSE		FALSE		159743	D004700	Endocrine System Diseases	OTG		Bioavailable testosterone levels	https://genetics.opentargets.org/study/GCST90012103	2020			0.337861233186842	0.95	1	ESR1-D004700-D004700	Phase II	0.95	1	GWAS	GWAS Catalog	2020	0.0187752		2	endocrine	gwas	genetically supported target	FALSE
ESR1-D006177	0.816	2	ESR1-D006177	ESR1	D006177	Gynecomastia	Phase I	Phase I	Phase I	2	3	2	TRUE	FALSE			FALSE		159702	D001943	Breast Neoplasms	OTG		Breast cancer	https://genetics.opentargets.org/study/GCST001683	2012			0.0795174471397068	0.81	1	ESR1-D006177-D001943	Phase I	0.81	1	GWAS	GWAS Catalog	2012		1.28	1	dermatology	both	genetically supported target	FALSE
ESR1-D009369	1	2	ESR1-D009369	ESR1	D009369	Neoplasms	Phase I		Phase I	3	4	3	TRUE	TRUE	FALSE		FALSE		159787	D009369	Neoplasms	OTG		Cancer (pleiotropy)	https://genetics.opentargets.org/study/GCST90011822	2020			0.0623184578822287	0.56	1	ESR1-D009369-D009369	Phase I	0.56	1	GWAS	GWAS Catalog	2020		1.1737089	2	oncology	gwas	genetically supported target	FALSE
ESR1-D010024	0.809	5	ESR1-D010024	ESR1	D010024	Osteoporosis	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	TRUE		159863	D018488	Bone Demineralization, Pathologic	OTG		Bone mineral density (spine)	https://genetics.opentargets.org/study/GCST000180	2008			0.599922037422037	0.86	1	ESR1-D010024-D018488	Launched	0.86	1	GWAS	GWAS Catalog	2008	0.09		3	musculoskeletal, metabolic	both	genetically supported target	TRUE
F10-D001778	1	2	F10-D001778	F10	D001778	Blood Coagulation Disorders	Phase I	Phase I	Phase I	2	3	2	TRUE	FALSE			FALSE		163469	D001778	Blood Coagulation Disorders	OTG		End-stage coagulation [FVII:C]	https://genetics.opentargets.org/study/GCST001798_3	2013			0.109228971962617	0.69	1	F10-D001778-D001778	Phase I	0.69	1	GWAS	GWAS Catalog	2013	0.534		1	hematology	both	genetically supported target	FALSE
F11-D001778	1	2	F11-D001778	F11	D001778	Blood Coagulation Disorders	Phase I	Phase I	Phase I	2	3	2	TRUE	FALSE			FALSE		163545	D001778	Blood Coagulation Disorders	OTG		Activated partial thromboplastin time	https://genetics.opentargets.org/study/GCST001574	2012			0.882135443694863	0.77	1	F11-D001778-D001778	Phase I	0.77	1	GWAS	GWAS Catalog	2012			1	hematology	both	genetically supported target	FALSE
F11-D013927	1	3	F11-D013927	F11	D013927	Thrombosis	Phase II	Phase II	Phase II	3	4	3	TRUE	TRUE	FALSE		FALSE		163578	D013927	Thrombosis	OTG		Thrombosis	https://genetics.opentargets.org/study/GCST003390	2016			0.400839312305401	0.85	1	F11-D013927-D013927	Phase II	0.85	1	GWAS	GWAS Catalog	2016		1.2345679	2	cardiovascular	both	genetically supported target	FALSE
F11-D020246	0.858	3	F11-D020246	F11	D020246	Venous Thrombosis	Phase II	Phase II	Phase II	3	4	3	TRUE	TRUE	FALSE		FALSE		163578	D013927	Thrombosis	OTG		Thrombosis	https://genetics.opentargets.org/study/GCST003390	2016			0.400839312305401	0.85	1	F11-D020246-D013927	Phase II	0.85	1	GWAS	GWAS Catalog	2016		1.2345679	2	cardiovascular	both	genetically supported target	FALSE
F2-D013927	0.858	5	F2-D013927	F2	D013927	Thrombosis	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE		163864	D020246	Venous Thrombosis	OTG		Deep venous thrombosis	https://genetics.opentargets.org/study/GCST90038615	2021			0.0124497471145117	0.78	1	F2-D013927-D020246	Launched	0.78	1	GWAS	GWAS Catalog	2021		1.01585934539419	3	cardiovascular	both	genetically supported target	TRUE
F2-D020246	1	5	F2-D020246	F2	D020246	Venous Thrombosis	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE		163864	D020246	Venous Thrombosis	OTG		Deep venous thrombosis	https://genetics.opentargets.org/study/GCST90038615	2021			0.0124497471145117	0.78	1	F2-D020246-D020246	Launched	0.78	1	GWAS	GWAS Catalog	2021		1.01585934539419	3	cardiovascular	both	genetically supported target	TRUE
F7-D001778	1	2	F7-D001778	F7	D001778	Blood Coagulation Disorders	Phase I	Preclinical	Phase I	2	2	2	TRUE	FALSE			FALSE		164263	D001778	Blood Coagulation Disorders	OTG		Prothrombin time	https://genetics.opentargets.org/study/GCST001573	2012			0.115024694567195	0.77	1	F7-D001778-D001778	Phase I	0.77	1	GWAS	GWAS Catalog	2012	0.035		1	hematology	both	genetically supported target	FALSE
FBP1-D003924	1	3	FBP1-D003924	FBP1	D003924	Diabetes Mellitus, Type 2	Phase II	Phase II	Phase II	3	4	3	TRUE	TRUE	FALSE		FALSE		174486	D003924	Diabetes Mellitus, Type 2	OTG		Type 2 diabetes [conditional]	https://genetics.opentargets.org/study/GCST010555_2	2020			0.786595661774256	0.81	1	FBP1-D003924-D003924	Phase II	0.81	1	GWAS	GWAS Catalog	2020			2	metabolic, endocrine	both	genetically supported target	FALSE
FCGR2A-D014657	0.819	2	FCGR2A-D014657	FCGR2A	D014657	Vasculitis	Phase I		Phase I	2		2	TRUE	FALSE			FALSE		176319	D009080	Mucocutaneous Lymph Node Syndrome	OTG		Kawasaki disease	https://genetics.opentargets.org/study/GCST001322	2011			0.501365587202497	0.66	1	FCGR2A-D014657-D009080	Phase I	0.66	1	GWAS	GWAS Catalog	2011		1.3199999999999992	1	cardiovascular	both	genetically supported target	FALSE
FCGRT-D013921	1	4	FCGRT-D013921	FCGRT	D013921	Thrombocytopenia	Phase III		Phase III	4		4	TRUE	TRUE	TRUE	FALSE	TRUE		176796	D013921	Thrombocytopenia	OTG		Red blood cell count	https://genetics.opentargets.org/study/GCST90002363	2020			0.00725952813067151	0.51	1	FCGRT-D013921-D013921	Phase III	0.51	1	GWAS	GWAS Catalog	2020	0.078719		3	hematology	both	genetically supported target	FALSE
FCGRT-D016553	0.855	4	FCGRT-D016553	FCGRT	D016553	Purpura, Thrombocytopenic, Idiopathic	Phase III	Phase III	Phase III	4	5	4	TRUE	TRUE	TRUE	FALSE	TRUE		176796	D013921	Thrombocytopenia	OTG		Red blood cell count	https://genetics.opentargets.org/study/GCST90002363	2020			0.00725952813067151	0.51	1	FCGRT-D016553-D013921	Phase III	0.51	1	GWAS	GWAS Catalog	2020	0.078719		3	hematology, immune, signs	both	genetically supported target	FALSE
FDFT1-D006949	0.881	4	FDFT1-D006949	FDFT1	D006949	Hyperlipidemias	Phase III		Phase III	4		4	TRUE	TRUE	TRUE	FALSE	FALSE		177248	D015228	Hypertriglyceridemia	OTG		Triglyceride levels	https://genetics.opentargets.org/study/GCST010173	2020			0.383461088735871	0.5	1	FDFT1-D006949-D015228	Phase III	0.5	1	GWAS	GWAS Catalog	2020			3	metabolic	both	genetically supported target	FALSE
FGF21-D015228	1	3	FGF21-D015228	FGF21	D015228	Hypertriglyceridemia	Phase II	Phase II	Phase II	3	4	3	TRUE	TRUE	FALSE		FALSE		179231	D015228	Hypertriglyceridemia	OTG		Triglyceride levels	https://genetics.opentargets.org/study/GCST010244	2020			0.592676899063476	0.54	1	FGF21-D015228-D015228	Phase II	0.54	1	GWAS	GWAS Catalog	2020	0.0248079		2	metabolic	both	genetically supported target	FALSE
FGFR2-D009369	1	3	FGFR2-D009369	FGFR2	D009369	Neoplasms	Phase II	Phase II	Phase II	5	6	5	TRUE	TRUE	TRUE	TRUE	TRUE		180069	D009369	Neoplasms	OTG		Cancer (pleiotropy) [subset analysis]	https://genetics.opentargets.org/study/GCST003588_2	2016			0.393066215688825	0.94	1	FGFR2-D009369-D009369	Phase II	0.94	1	GWAS	GWAS Catalog	2016			3	oncology	gwas	genetically supported target	FALSE
FGFR4-D003924	1	3	FGFR4-D003924	FGFR4	D003924	Diabetes Mellitus, Type 2	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		TRUE		180227	D003924	Diabetes Mellitus, Type 2	OTG		Type 2 diabetes	https://genetics.opentargets.org/study/GCST007847	2019			0.287970140683319	0.69	1	FGFR4-D003924-D003924	Phase II	0.69	1	GWAS	GWAS Catalog	2019		1.06	2	metabolic, endocrine	both	genetically supported target	FALSE
FGFR4-D009765	1	3	FGFR4-D009765	FGFR4	D009765	Obesity	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		FALSE		180244	D009765	Obesity	OTG		Hip circumference adjusted for BMI	https://genetics.opentargets.org/study/GCST90020028	2021			0.234450384665537	0.7	1	FGFR4-D009765-D009765	Phase II	0.7	1	GWAS	GWAS Catalog	2021	0.0245634		2	metabolic, signs	both	genetically supported target	FALSE
FLT4-D006258	0.82	2	FLT4-D006258	FLT4	D006258	Head and Neck Neoplasms	Phase I		Phase I	4	5	4	TRUE	TRUE	TRUE	FALSE	FALSE		182618	D009303	Nasopharyngeal Neoplasms	OTG		Nasopharyngeal carcinoma (SNP x SNP interaction)	https://genetics.opentargets.org/study/GCST006524	2013			0.11891786687427	0.82	1	FLT4-D006258-D009303	Phase I	0.82	1	GWAS	GWAS Catalog	2013			3	oncology	both	genetically supported target	FALSE
FSHR-D010051	0.812	2	FSHR-D010051	FSHR	D010051	Ovarian Neoplasms	Phase I	Phase I	Phase I	2	3	2	TRUE	FALSE			FALSE		187801	D011085	Polycystic Ovary Syndrome	OTG		Polycystic ovary syndrome	https://genetics.opentargets.org/study/GCST001634	2012			0.644583008573655	0.86	1	FSHR-D010051-D011085	Phase I	0.86	1	GWAS	GWAS Catalog	2012		1.1500000000000006	1	oncology	gwas	genetically supported target	FALSE
GATA3-D001249	1	3	GATA3-D001249	GATA3	D001249	Asthma	Phase II	Phase II	Phase II	3	4	3	TRUE	TRUE	FALSE		FALSE		193432	D001249	Asthma	OTG		Asthma (moderate or severe)	https://genetics.opentargets.org/study/GCST006911	2018			0.583929733246584	0.92	1	GATA3-D001249-D001249	Phase II	0.92	1	GWAS	GWAS Catalog	2018		1.1111111999999996	2	respiratory, immune	gwas	genetically supported target	FALSE
GATA3-D003876	0.851	3	GATA3-D003876	GATA3	D003876	Dermatitis, Atopic	Phase II	Phase II	Phase II	3	4	3	TRUE	TRUE	FALSE		FALSE		193472	D004485	Eczema	OTG		Eczema	https://genetics.opentargets.org/study/GCST007075	2018			0.274558212058212	1	1	GATA3-D003876-D004485	Phase II	1	1	GWAS	GWAS Catalog	2018			2	congenital, dermatology, immune	gwas	genetically supported target	FALSE
GATA3-D029424	0.807	3	GATA3-D029424	GATA3	D029424	Pulmonary Disease, Chronic Obstructive	Phase II	Phase II	Phase II	3	4	3	TRUE	TRUE	FALSE		FALSE		193432	D001249	Asthma	OTG		Asthma (moderate or severe)	https://genetics.opentargets.org/study/GCST006911	2018			0.583929733246584	0.92	1	GATA3-D029424-D001249	Phase II	0.92	1	GWAS	GWAS Catalog	2018		1.1111111999999996	2	respiratory	gwas	genetically supported target	FALSE
GHSR-D011218	0.805	4	GHSR-D011218	GHSR	D011218	Prader-Willi Syndrome	Phase III	Phase I	Phase III	4	3	4	TRUE	TRUE	TRUE	FALSE	TRUE		197858	D009765	Obesity	OTG		Weight	https://genetics.opentargets.org/study/GCST90018729	2021			0.396377093883911	0.87	1	GHSR-D011218-D009765	Phase III	0.87	1	GWAS	GWAS Catalog	2021	0.0190497		3	neurology, congenital, metabolic	both	genetically supported target	FALSE
GIPR-D003924	1	2	GIPR-D003924	GIPR	D003924	Diabetes Mellitus, Type 2	Phase I	Phase I	Phase I	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE		198777	D003924	Diabetes Mellitus, Type 2	OTG		Type 2 diabetes	https://genetics.opentargets.org/study/GCST004894	2017			0.109155844155844	0.7	1	GIPR-D003924-D003924	Phase I	0.7	1	GWAS	GWAS Catalog	2017	0.076		3	metabolic, endocrine	both	genetically supported target	FALSE
GIPR-D009765	1	2	GIPR-D009765	GIPR	D009765	Obesity	Phase I	Preclinical	Phase I	4	5	4	TRUE	TRUE	TRUE	FALSE	FALSE		198809	D009765	Obesity	OTG		Body mass index	https://genetics.opentargets.org/study/GCST001415	2012			0.109155844155844	0.7	1	GIPR-D009765-D009765	Phase I	0.7	1	GWAS	GWAS Catalog	2012	4.22		3	metabolic, signs	both	genetically supported target	FALSE
GLP1R-D003920	1	2	GLP1R-D003920	GLP1R	D003920	Diabetes Mellitus	Phase I	Phase I	Phase I	3	3	3	TRUE	TRUE	FALSE		FALSE		200549	D003920	Diabetes Mellitus	OTG		Hemoglobin A1c levels	https://genetics.opentargets.org/study/GCST90025974	2021			0.0964206977045779	0.9	1	GLP1R-D003920-D003920	Phase I	0.9	1	GWAS	GWAS Catalog	2021	0.0257273999999999		2	metabolic, endocrine	both	genetically supported target	FALSE
GLP1R-D003924	1	5	GLP1R-D003924	GLP1R	D003924	Diabetes Mellitus, Type 2	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	TRUE		200551	D003924	Diabetes Mellitus, Type 2	OTG		Type 2 diabetes	https://genetics.opentargets.org/study/GCST007847	2019			0.00194741966893866	0.89	1	GLP1R-D003924-D003924	Launched	0.89	1	GWAS	GWAS Catalog	2019		1.0900000000000005	3	metabolic, endocrine	both	genetically supported target	TRUE
GLP1R-D009765	1	5	GLP1R-D009765	GLP1R	D009765	Obesity	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE		200561	D009765	Obesity	OTG		Body mass index	https://genetics.opentargets.org/study/GCST90018947	2021			0.518853205044858	0.87	1	GLP1R-D009765-D009765	Launched	0.87	1	GWAS	GWAS Catalog	2021			3	metabolic, signs	both	genetically supported target	TRUE
GNRH1-D007889	1	5	GNRH1-D007889	GNRH1	D007889	Leiomyoma	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE		203318	D007889	Leiomyoma	OTG		Uterine fibroids	https://genetics.opentargets.org/study/GCST90018934	2021			0.263892495455726	0.53	1	GNRH1-D007889-D007889	Launched	0.53	1	GWAS	GWAS Catalog	2021	0.052		3	oncology	gwas	genetically supported target	TRUE
GP6-D013927	1	3	GP6-D013927	GP6	D013927	Thrombosis	Phase II	Phase II	Phase II	3	4	3	TRUE	TRUE	FALSE		FALSE		204297	D013927	Thrombosis	OTG		Platelet aggregation [collagen]	https://genetics.opentargets.org/study/GCST000693_2	2010			0.858654474199869	0.65	1	GP6-D013927-D013927	Phase II	0.65	1	GWAS	GWAS Catalog	2010			2	cardiovascular	both	genetically supported target	FALSE
GRIA1-D012559	1	3	GRIA1-D012559	GRIA1	D012559	Schizophrenia	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		FALSE		208168	D012559	Schizophrenia	OTG		Schizophrenia	https://genetics.opentargets.org/study/GCST002149	2013			0.521903028727415	1	1	GRIA1-D012559-D012559	Phase II	1	1	GWAS	GWAS Catalog	2013		1.0799999999999998	2	psychiatry	gwas	genetically supported target	FALSE
GRIA1-D012893	0.867	3	GRIA1-D012893	GRIA1	D012893	Sleep Wake Disorders	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		FALSE		208147	D007319	Sleep Initiation and Maintenance Disorders	OTG		Insomnia	https://genetics.opentargets.org/study/GCST007988	2019			0.640669608097586	0.71	1	GRIA1-D012893-D007319	Phase II	0.71	1	GWAS	GWAS Catalog	2019		1.0395011000000003	2	neurology, signs, psychiatry	both	genetically supported target	FALSE
GRIN2B-D000544	1	4	GRIN2B-D000544	GRIN2B	D000544	Alzheimer Disease	Phase III		Phase III	4		4	TRUE	TRUE	TRUE	FALSE	TRUE		208604	D000544	Alzheimer Disease	OTG		Cerebrospinal AB1-42 levels in normal cognition	https://genetics.opentargets.org/study/GCST007001	2017			0.063051375194603	0.96	1	GRIN2B-D000544-D000544	Phase III	0.96	1	GWAS	GWAS Catalog	2017	1.02		3	neurology, psychiatry	both	genetically supported target	FALSE
GRM5-D001008	0.883	3	GRM5-D001008	GRM5	D001008	Anxiety Disorders	Phase II	Phase I	Phase II	3	3	3	TRUE	TRUE	FALSE		TRUE		209106	D009497	Neurotic Disorders	OTG		Neuroticism	https://genetics.opentargets.org/study/GCST005232	2017			0.467171387547318	0.61	1	GRM5-D001008-D009497	Phase II	0.61	1	GWAS	GWAS Catalog	2017	0.034727		2	psychiatry	gwas	genetically supported target	FALSE
GRM5-D003865	1	3	GRM5-D003865	GRM5	D003865	Depressive Disorder, Major	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		TRUE		209093	D003865	Depressive Disorder, Major	OTG		Major depressive disorder (MTAG)	https://genetics.opentargets.org/study/GCST012090	2021			0.457653132412446	0.91	1	GRM5-D003865-D003865	Phase II	0.91	1	GWAS	GWAS Catalog	2021	0.028490389		2	psychiatry	gwas	genetically supported target	FALSE
GRM5-D009771	0.843	3	GRM5-D009771	GRM5	D009771	Obsessive-Compulsive Disorder	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		TRUE		209106	D009497	Neurotic Disorders	OTG		Neuroticism	https://genetics.opentargets.org/study/GCST005232	2017			0.467171387547318	0.61	1	GRM5-D009771-D009497	Phase II	0.61	1	GWAS	GWAS Catalog	2017	0.034727		2	psychiatry	gwas	genetically supported target	FALSE
HCRTR2-D007319	0.867	3	HCRTR2-D007319	HCRTR2	D007319	Sleep Initiation and Maintenance Disorders	Phase II	Phase II	Phase II	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE		217356	D012893	Sleep Wake Disorders	OTG		Sleep duration (short sleep)	https://genetics.opentargets.org/study/GCST007559	2019			0.580507919884802	0.89	1	HCRTR2-D007319-D012893	Phase II	0.89	1	GWAS	GWAS Catalog	2019			3	neurology, psychiatry	both	genetically supported target	FALSE
HCRTR2-D009290	0.873	3	HCRTR2-D009290	HCRTR2	D009290	Narcolepsy	Phase II	Phase II	Phase II	3	4	3	TRUE	TRUE	FALSE		TRUE		217356	D012893	Sleep Wake Disorders	OTG		Sleep duration (short sleep)	https://genetics.opentargets.org/study/GCST007559	2019			0.580507919884802	0.89	1	HCRTR2-D009290-D012893	Phase II	0.89	1	GWAS	GWAS Catalog	2019			2	neurology, psychiatry	both	genetically supported target	FALSE
HCRTR2-D020177	0.807	3	HCRTR2-D020177	HCRTR2	D020177	Idiopathic Hypersomnia	Phase II	Phase I	Phase II	3	3	3	TRUE	TRUE	FALSE		TRUE		217356	D012893	Sleep Wake Disorders	OTG		Sleep duration (short sleep)	https://genetics.opentargets.org/study/GCST007559	2019			0.580507919884802	0.89	1	HCRTR2-D020177-D012893	Phase II	0.89	1	GWAS	GWAS Catalog	2019			2	neurology, psychiatry	both	genetically supported target	FALSE
