ti_uid	gene	indication_mesh_id	indication_mesh_term	hcat	acat	ccat	hcatnum	acatnum	ccatnum	succ_p_1	succ_1_2	succ_2_3	succ_3_a	oto_hcat	oto_acat	oto_ccat	orphan	year_launch
DHFR-D009190	DHFR	D009190	Myelodysplastic Syndromes	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
DHFR-D009369	DHFR	D009369	Neoplasms	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
DHFR-D010051	DHFR	D010051	Ovarian Neoplasms	Phase I		Phase I	2		2	TRUE	FALSE						FALSE	
DHFR-D010190	DHFR	D010190	Pancreatic Neoplasms	Preclinical		Preclinical	1		1	FALSE							FALSE	
DHFR-D011271	DHFR	D011271	Pregnancy, Ectopic	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	TRUE	
DHFR-D011471	DHFR	D011471	Prostatic Neoplasms	Phase I		Phase I	2		2	TRUE	FALSE						FALSE	
DHFR-D011565	DHFR	D011565	Psoriasis	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	Launched	Launched	Launched	TRUE	2014
DHFR-D012164	DHFR	D012164	Retinal Diseases		Phase III	Phase III		5	4	TRUE	TRUE	TRUE					FALSE	
DHFR-D012174	DHFR	D012174	Retinitis Pigmentosa		Phase II	Phase II		4	3	TRUE	TRUE						FALSE	
DHFR-D012516	DHFR	D012516	Osteosarcoma	Preclinical		Preclinical	1		1	FALSE							FALSE	
DHFR-D013167	DHFR	D013167	Spondylitis, Ankylosing	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
DHFR-D014123	DHFR	D014123	Toxoplasmosis	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	FALSE	
DHFR-D014605	DHFR	D014605	Uveitis	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
DHFR-D015179	DHFR	D015179	Colorectal Neoplasms	Phase I		Phase I	2		2	TRUE	FALSE						FALSE	
DHFR-D015212	DHFR	D015212	Inflammatory Bowel Diseases	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
DHFR-D015470	DHFR	D015470	Leukemia, Myeloid, Acute	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
DHFR-D015477	DHFR	D015477	Leukemia, Myelomonocytic, Chronic	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
DHFR-D015535	DHFR	D015535	Arthritis, Psoriatic	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	Phase II	Launched	Launched	FALSE	
DHFR-D016393	DHFR	D016393	Lymphoma, B-Cell	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
DHFR-D016399	DHFR	D016399	Lymphoma, T-Cell	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
DHFR-D016410	DHFR	D016410	Lymphoma, T-Cell, Cutaneous	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
DHFR-D016411	DHFR	D016411	Lymphoma, T-Cell, Peripheral	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE		Launched	Launched	FALSE	
DHFR-D054198	DHFR	D054198	Precursor Cell Lymphoblastic Leukemia-Lymphoma	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	Phase II	Launched	Launched	FALSE	2017
DHODH-D000072742	DHODH	D000072742	Invasive Fungal Infections		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	TRUE	
DHODH-D000086382	DHODH	D000086382	COVID-19		Phase III	Phase III		5	4	TRUE	TRUE	TRUE			Phase III	Phase III	TRUE	
DHODH-D001172	DHODH	D001172	Arthritis, Rheumatoid	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	TRUE	
DHODH-D001228	DHODH	D001228	Aspergillosis		Phase III	Phase III		5	4	TRUE	TRUE	TRUE			Phase III	Phase III	TRUE	
DHODH-D001327	DHODH	D001327	Autoimmune Diseases		Phase I	Phase I		3	2	TRUE					Phase I	Phase I	TRUE	
DHODH-D001943	DHODH	D001943	Breast Neoplasms	Phase I		Phase I	2		2	TRUE	FALSE						FALSE	
DHODH-D003047	DHODH	D003047	Coccidioidomycosis		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	TRUE	
DHODH-D003093	DHODH	D003093	Colitis, Ulcerative		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	FALSE	
DHODH-D003233	DHODH	D003233	Conjunctivitis, Allergic		Phase I	Phase I		3	2	TRUE					Phase I	Phase I	TRUE	
DHODH-D003424	DHODH	D003424	Crohn Disease		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	FALSE	
DHODH-D003876	DHODH	D003876	Dermatitis, Atopic	Phase III		Phase III	4		4	TRUE	TRUE	TRUE	FALSE	Phase III		Phase III	FALSE	
DHODH-D004827	DHODH	D004827	Epilepsy		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
DHODH-D006086	DHODH	D006086	Graft vs Host Disease	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	FALSE	
DHODH-D007249	DHODH	D007249	Inflammation		Preclinical	Preclinical		2	1						Preclinical	Preclinical	TRUE	
DHODH-D008180	DHODH	D008180	Lupus Erythematosus, Systemic	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
DHODH-D008223	DHODH	D008223	Lymphoma	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	FALSE	
DHODH-D008581	DHODH	D008581	Meningitis	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	TRUE	
DHODH-D009103	DHODH	D009103	Multiple Sclerosis	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	TRUE	
DHODH-D009181	DHODH	D009181	Mycoses		Preclinical	Preclinical		2	1						Preclinical	Preclinical	TRUE	
DHODH-D009190	DHODH	D009190	Myelodysplastic Syndromes		Phase I	Phase I		3	2	TRUE					Phase I	Phase I	FALSE	
DHODH-D009369	DHODH	D009369	Neoplasms	Phase I		Phase I	2		2	TRUE	FALSE			Preclinical		Preclinical	TRUE	
DHODH-D009422	DHODH	D009422	Nervous System Diseases	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	TRUE	
DHODH-D011471	DHODH	D011471	Prostatic Neoplasms		Phase I	Phase I		3	2	TRUE					Phase I	Phase I	FALSE	
DHODH-D011565	DHODH	D011565	Psoriasis		Phase I	Phase I		3	2	TRUE					Phase I	Phase I	FALSE	
DHODH-D012514	DHODH	D012514	Sarcoma, Kaposi	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
DHODH-D014605	DHODH	D014605	Uveitis		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	TRUE	
DHODH-D015209	DHODH	D015209	Cholangitis, Sclerosing		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	FALSE	
DHODH-D015212	DHODH	D015212	Inflammatory Bowel Diseases		Phase I	Phase I		3	2	TRUE					Phase I	Phase I	TRUE	
DHODH-D015352	DHODH	D015352	Dry Eye Syndromes		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	TRUE	
DHODH-D015470	DHODH	D015470	Leukemia, Myeloid, Acute		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	TRUE	
DHODH-D015477	DHODH	D015477	Leukemia, Myelomonocytic, Chronic	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	FALSE	
DHODH-D015658	DHODH	D015658	HIV Infections	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
DHODH-D016403	DHODH	D016403	Lymphoma, Large B-Cell, Diffuse	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
DHODH-D017253	DHODH	D017253	Neurofibromatoses	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
DHODH-D019337	DHODH	D019337	Hematologic Neoplasms	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
DHODH-D020275	DHODH	D020275	Guillain-Barre Syndrome		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
DHODH-D020528	DHODH	D020528	Multiple Sclerosis, Chronic Progressive		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	FALSE	
DHODH-D020529	DHODH	D020529	Multiple Sclerosis, Relapsing-Remitting	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	Launched	Launched	Launched	TRUE	2012
DHODH-D060585	DHODH	D060585	Fusariosis		Preclinical	Preclinical		2	1						Preclinical	Preclinical	TRUE	
DIABLO-D001943	DIABLO	D001943	Breast Neoplasms	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
DIABLO-D002289	DIABLO	D002289	Carcinoma, Non-Small-Cell Lung		Phase I	Phase I		3	2	TRUE				Phase I		Phase I	FALSE	
DIABLO-D005185	DIABLO	D005185	Fallopian Tube Neoplasms	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	FALSE	
DIABLO-D006258	DIABLO	D006258	Head and Neck Neoplasms		Phase III	Phase III		5	4	TRUE	TRUE	TRUE					FALSE	
DIABLO-D007938	DIABLO	D007938	Leukemia	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
DIABLO-D008223	DIABLO	D008223	Lymphoma		Phase I	Phase I		3	2	TRUE					Phase I	Phase I	FALSE	
DIABLO-D008545	DIABLO	D008545	Melanoma	Phase I		Phase I	2		2	TRUE	FALSE						FALSE	
DIABLO-D009101	DIABLO	D009101	Multiple Myeloma	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
DIABLO-D009369	DIABLO	D009369	Neoplasms		Phase II	Phase II		4	3	TRUE	TRUE				Phase I	Phase I	FALSE	
DIABLO-D010051	DIABLO	D010051	Ovarian Neoplasms	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
DIABLO-D010190	DIABLO	D010190	Pancreatic Neoplasms		Phase I	Phase I		3	2	TRUE							FALSE	
DIABLO-D011087	DIABLO	D011087	Polycythemia Vera	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
DIABLO-D011471	DIABLO	D011471	Prostatic Neoplasms	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	FALSE	
DIABLO-D013922	DIABLO	D013922	Thrombocytosis	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
DIABLO-D015179	DIABLO	D015179	Colorectal Neoplasms		Phase I	Phase I		3	2	TRUE				Phase I		Phase I	FALSE	
DIABLO-D015470	DIABLO	D015470	Leukemia, Myeloid, Acute	Phase I		Phase I	2		2	TRUE	FALSE						FALSE	
DIABLO-D018442	DIABLO	D018442	Lymphoma, B-Cell, Marginal Zone	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	FALSE	
DIABLO-D055728	DIABLO	D055728	Primary Myelofibrosis	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
DIABLO-D055752	DIABLO	D055752	Small Cell Lung Carcinoma	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
DICER1-D000690	DICER1	D000690	Amyotrophic Lateral Sclerosis	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	TRUE	
DIO3-D019966	DIO3	D019966	Substance-Related Disorders	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
DISC1-D000690	DISC1	D000690	Amyotrophic Lateral Sclerosis		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
DISC1-D012559	DISC1	D012559	Schizophrenia		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
DKK1-D001650	DKK1	D001650	Bile Duct Neoplasms		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	TRUE	
DKK1-D001847	DKK1	D001847	Bone Diseases	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
DKK1-D002289	DKK1	D002289	Carcinoma, Non-Small-Cell Lung	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	TRUE	
DKK1-D004938	DKK1	D004938	Esophageal Neoplasms		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	TRUE	
DKK1-D008113	DKK1	D008113	Liver Neoplasms		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	TRUE	
DKK1-D009101	DKK1	D009101	Multiple Myeloma		Preclinical	Preclinical		2	1						Preclinical	Preclinical	TRUE	
DKK1-D009369	DKK1	D009369	Neoplasms		Preclinical	Preclinical		2	1						Preclinical	Preclinical	TRUE	
DKK1-D010012	DKK1	D010012	Osteogenesis	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
DKK1-D010024	DKK1	D010024	Osteoporosis	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
DKK1-D010051	DKK1	D010051	Ovarian Neoplasms		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	TRUE	
DKK1-D011471	DKK1	D011471	Prostatic Neoplasms		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	TRUE	
DKK1-D013274	DKK1	D013274	Stomach Neoplasms		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	TRUE	
DKK1-D016889	DKK1	D016889	Endometrial Neoplasms		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	TRUE	
DKK1-D050723	DKK1	D050723	Fractures, Bone	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
DKK2-D002318	DKK2	D002318	Cardiovascular Diseases	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
DKK2-D003929	DKK2	D003929	Diabetic Neuropathies	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
DKK2-D007511	DKK2	D007511	Ischemia	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
DKK2-D009369	DKK2	D009369	Neoplasms	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
DKK2-D016491	DKK2	D016491	Peripheral Vascular Diseases	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
DKK2-D017719	DKK2	D017719	Diabetic Foot	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
DKK3-D001749	DKK3	D001749	Urinary Bladder Neoplasms	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	TRUE	
DKK3-D001932	DKK3	D001932	Brain Neoplasms		Phase I	Phase I		3	2	TRUE					Phase I	Phase I	TRUE	
DKK3-D001943	DKK3	D001943	Breast Neoplasms		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
DKK3-D005909	DKK3	D005909	Glioblastoma		Phase I	Phase I		3	2	TRUE					Phase I	Phase I	TRUE	
DKK3-D008113	DKK3	D008113	Liver Neoplasms	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	TRUE	
DKK3-D008175	DKK3	D008175	Lung Neoplasms		Preclinical	Preclinical		2	1						Preclinical	Preclinical	TRUE	
DKK3-D008527	DKK3	D008527	Medulloblastoma		Phase I	Phase I		3	2	TRUE					Phase I	Phase I	TRUE	
DKK3-D008654	DKK3	D008654	Mesothelioma		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	TRUE	
DKK3-D010190	DKK3	D010190	Pancreatic Neoplasms		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
DKK3-D011471	DKK3	D011471	Prostatic Neoplasms		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	TRUE	
DLAT-D008105	DLAT	D008105	Liver Cirrhosis, Biliary		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
DLG4-D002545	DLG4	D002545	Brain Ischemia		Phase I	Phase I		3	2	TRUE					Phase I	Phase I	FALSE	
DLG4-D020521	DLG4	D020521	Stroke		Phase I	Phase I		3	2	TRUE					Phase I	Phase I	FALSE	
DLK1-D005767	DLK1	D005767	Gastrointestinal Diseases	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
DLK1-D008113	DLK1	D008113	Liver Neoplasms		Phase I	Phase I		3	2	TRUE					Phase I	Phase I	FALSE	
DLK1-D008175	DLK1	D008175	Lung Neoplasms	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
DLK1-D009369	DLK1	D009369	Neoplasms		Phase I	Phase I		3	2	TRUE					Phase I	Phase I	FALSE	
DLK1-D009447	DLK1	D009447	Neuroblastoma		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
DLK1-D055752	DLK1	D055752	Small Cell Lung Carcinoma		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
DLL3-D001932	DLL3	D001932	Brain Neoplasms	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	TRUE	
DLL3-D005909	DLL3	D005909	Glioblastoma	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	TRUE	
DLL3-D008527	DLL3	D008527	Medulloblastoma	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	TRUE	
DLL3-D008545	DLL3	D008545	Melanoma	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	TRUE	
DLL3-D009369	DLL3	D009369	Neoplasms		Preclinical	Preclinical		2	1						Preclinical	Preclinical	TRUE	
DLL3-D013964	DLL3	D013964	Thyroid Neoplasms	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	TRUE	
DLL3-D018278	DLL3	D018278	Carcinoma, Neuroendocrine		Phase I	Phase I		3	2	TRUE				Phase II		Phase II	TRUE	
DLL3-D018358	DLL3	D018358	Neuroendocrine Tumors		Phase I	Phase I		3	2	TRUE				Phase II		Phase II	TRUE	
DLL3-D055752	DLL3	D055752	Small Cell Lung Carcinoma		Phase II	Phase II		4	3	TRUE	TRUE				Preclinical	Preclinical	TRUE	
DLL4-D001650	DLL4	D001650	Bile Duct Neoplasms		Phase II	Phase II		4	3	TRUE	TRUE						FALSE	
DLL4-D002289	DLL4	D002289	Carcinoma, Non-Small-Cell Lung	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	TRUE	
DLL4-D005128	DLL4	D005128	Eye Diseases	Preclinical		Preclinical	1		1	FALSE							FALSE	
DLL4-D005185	DLL4	D005185	Fallopian Tube Neoplasms	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	TRUE	
DLL4-D009369	DLL4	D009369	Neoplasms		Phase II	Phase II		4	3	TRUE	TRUE			Phase II		Phase II	TRUE	
DLL4-D010051	DLL4	D010051	Ovarian Neoplasms		Phase II	Phase II		4	3	TRUE	TRUE			Phase II		Phase II	TRUE	
DLL4-D010190	DLL4	D010190	Pancreatic Neoplasms	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	TRUE	
DLL4-D010534	DLL4	D010534	Peritoneal Neoplasms	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	TRUE	
DLL4-D011471	DLL4	D011471	Prostatic Neoplasms	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	FALSE	
DLL4-D013274	DLL4	D013274	Stomach Neoplasms		Phase I	Phase I		3	2	TRUE							FALSE	
DLL4-D015179	DLL4	D015179	Colorectal Neoplasms		Phase II	Phase II		4	3	TRUE	TRUE			Phase II		Phase II	TRUE	
DLL4-D055752	DLL4	D055752	Small Cell Lung Carcinoma	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	FALSE	
DLL4-D057135	DLL4	D057135	Wet Macular Degeneration	Phase I		Phase I	2		2	TRUE	FALSE						FALSE	
DMD-D002311	DMD	D002311	Cardiomyopathy, Dilated	Preclinical		Preclinical	1		1	FALSE							FALSE	
DMD-D009136	DMD	D009136	Muscular Dystrophies		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
DMD-D020388	DMD	D020388	Muscular Dystrophy, Duchenne	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	Launched	Launched	Launched	TRUE	
DMD-D049288	DMD	D049288	Muscular Dystrophies, Limb-Girdle	Preclinical		Preclinical	1		1	FALSE							FALSE	
DMPK-D001943	DMPK	D001943	Breast Neoplasms		Phase III	Phase III		5	4	TRUE	TRUE	TRUE			Phase I	Phase I	FALSE	
DMPK-D005600	DMPK	D005600	Fragile X Syndrome	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
DMPK-D009223	DMPK	D009223	Myotonic Dystrophy		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	TRUE	
DMPK-D009369	DMPK	D009369	Neoplasms	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
DNAI1-D002925	DNAI1	D002925	Ciliary Motility Disorders		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
DNAJC15-D001943	DNAJC15	D001943	Breast Neoplasms		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
DNAJC15-D005355	DNAJC15	D005355	Fibrosis		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
DNAJC15-D007690	DNAJC15	D007690	Polycystic Kidney Diseases		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
DNAJC15-D008103	DNAJC15	D008103	Liver Cirrhosis		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
DNAJC15-D008105	DNAJC15	D008105	Liver Cirrhosis, Biliary		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
DNAJC15-D008107	DNAJC15	D008107	Liver Diseases		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
DNAJC15-D009369	DNAJC15	D009369	Neoplasms		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
DNAJC15-D058186	DNAJC15	D058186	Acute Kidney Injury		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
DNAJC15-D065626	DNAJC15	D065626	Non-alcoholic Fatty Liver Disease		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
DNASE1-D003550	DNASE1	D003550	Cystic Fibrosis	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	Launched	Launched	Launched	TRUE	2019
DNASE1-D004696	DNASE1	D004696	Endocarditis	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
DNASE1-D005770	DNASE1	D005770	Gastrointestinal Neoplasms		Preclinical	Preclinical		2	1						Preclinical	Preclinical	TRUE	
DNASE1-D006086	DNASE1	D006086	Graft vs Host Disease	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
DNASE1-D010190	DNASE1	D010190	Pancreatic Neoplasms		Preclinical	Preclinical		2	1						Preclinical	Preclinical	TRUE	
DNASE1-D012128	DNASE1	D012128	Respiratory Distress Syndrome	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
DNASE1-D012141	DNASE1	D012141	Respiratory Tract Infections		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	TRUE	
DNASE1-D012507	DNASE1	D012507	Sarcoidosis	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	TRUE	
DNASE1-D055752	DNASE1	D055752	Small Cell Lung Carcinoma	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
DNM2-D020914	DNM2	D020914	Myopathies, Structural, Congenital		Preclinical	Preclinical		2	1						Preclinical	Preclinical	TRUE	
DNMT1-D001749	DNMT1	D001749	Urinary Bladder Neoplasms		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	TRUE	
DNMT1-D001932	DNMT1	D001932	Brain Neoplasms		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	FALSE	
DNMT1-D002289	DNMT1	D002289	Carcinoma, Non-Small-Cell Lung		Preclinical	Preclinical		2	1						Preclinical	Preclinical	TRUE	
DNMT1-D002583	DNMT1	D002583	Uterine Cervical Neoplasms	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	TRUE	
DNMT1-D005909	DNMT1	D005909	Glioblastoma		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	FALSE	
DNMT1-D008113	DNMT1	D008113	Liver Neoplasms	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	TRUE	
DNMT1-D008175	DNMT1	D008175	Lung Neoplasms	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	TRUE	
DNMT1-D008527	DNMT1	D008527	Medulloblastoma		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	FALSE	
DNMT1-D008545	DNMT1	D008545	Melanoma	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	TRUE	
DNMT1-D009190	DNMT1	D009190	Myelodysplastic Syndromes		Phase I	Phase I		3	2	TRUE					Phase I	Phase I	TRUE	
DNMT1-D009369	DNMT1	D009369	Neoplasms		Preclinical	Preclinical		2	1						Preclinical	Preclinical	TRUE	
DNMT1-D009422	DNMT1	D009422	Nervous System Diseases	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
DNMT1-D010051	DNMT1	D010051	Ovarian Neoplasms		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	TRUE	
DNMT1-D010190	DNMT1	D010190	Pancreatic Neoplasms		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	TRUE	
DNMT1-D015179	DNMT1	D015179	Colorectal Neoplasms	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	TRUE	
DNMT1-D015470	DNMT1	D015470	Leukemia, Myeloid, Acute		Phase I	Phase I		3	2	TRUE					Phase I	Phase I	TRUE	
DNMT1-D015477	DNMT1	D015477	Leukemia, Myelomonocytic, Chronic		Phase I	Phase I		3	2	TRUE					Phase I	Phase I	TRUE	
DNMT1-D019337	DNMT1	D019337	Hematologic Neoplasms	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
DNMT3A-D000086382	DNMT3A	D000086382	COVID-19	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
DNMT3A-D006519	DNMT3A	D006519	Hepatitis, Alcoholic		Phase II	Phase II		4	3	TRUE	TRUE						FALSE	
DNMT3A-D007511	DNMT3A	D007511	Ischemia	Preclinical		Preclinical	1		1	FALSE							FALSE	
DNMT3A-D011565	DNMT3A	D011565	Psoriasis	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
DNMT3A-D015209	DNMT3A	D015209	Cholangitis, Sclerosing	Preclinical		Preclinical	1		1	FALSE							FALSE	
DNMT3A-D058186	DNMT3A	D058186	Acute Kidney Injury		Phase II	Phase II		4	3	TRUE	TRUE						FALSE	
DNMT3A-D065626	DNMT3A	D065626	Non-alcoholic Fatty Liver Disease		Phase II	Phase II		4	3	TRUE	TRUE						FALSE	
DNMT3B-D000086382	DNMT3B	D000086382	COVID-19	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
DNMT3B-D006519	DNMT3B	D006519	Hepatitis, Alcoholic		Phase II	Phase II		4	3	TRUE	TRUE						FALSE	
DNMT3B-D007511	DNMT3B	D007511	Ischemia	Preclinical		Preclinical	1		1	FALSE							FALSE	
