MSH	MSH.Top	Disease	Indication	Category
artificial intelligence		Reasoning		
arts syndrome	Otorhinolaryngologic Diseases	"Arts syndrome,  "		
asbestosis		Lung cancer-asbestos exposure interaction		
aspartate aminotransferases		Aspartate aminotransferase		Miscellaneous
aspartylglucosaminuria	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Aspartylglucosaminuria,  "		
asperger syndrome		Asperger disorder		
asphyxiating thoracic dystrophy 2	Musculoskeletal Diseases	"Asphyxiating thoracic dystrophy 2,  "		
asphyxiating thoracic dystrophy 3	Musculoskeletal Diseases	"Asphyxiating thoracic dystrophy 3,  "		
"asthma, aspirin-induced"		Aspirin exacerbated respiratory disease in asthmatics		
"asthma, nasal polyps, and aspirin intolerance"	Respiratory Tract Diseases	"{Asthma, aspirin-induced, susceptibility to},  "		
"asthma, occupational"		Asthma (toluene diisocyanate-induced)		
astigmatism		Corneal astigmatism		Eye
ataxia with vitamin e deficiency	Nervous System Diseases	"Ataxia with isolated vitamin E deficiency,  "		
atelosteogenesis type 2	Musculoskeletal Diseases	"De la Chapelle dysplasia,  "		
"atelosteogenesis, type 1"	Musculoskeletal Diseases	"Atelosteogenesis, type I,  "		
athabaskan brainstem dysgenesis	Otorhinolaryngologic Diseases	"Bosley-Salih-Alorainy syndrome,  "		
athletic performance		human elite athletic performance		
"atp-binding cassette, sub-family a (abc1), member 2"		*600047 ATP-BINDING CASSETTE; SUBFAMILY A; MEMBER 2; ABCA2		
"atrial fibrillation, familial, 3"	Cardiovascular Diseases	"Atrial fibrillation, familial, 3,  "		Cardiovascular
"atrial fibrillation, familial, 4"	Cardiovascular Diseases	"Atrial fibrillation, familial, 4,  "		Cardiovascular
"atrial fibrillation, familial, 6"	Cardiovascular Diseases	"Atrial fibrillation, familial, 6,  "		Cardiovascular
"atrial fibrillation, familial, 7"	Cardiovascular Diseases	"Atrial fibrillation, familial, 7,  "		Cardiovascular
"atrial myxoma, familial"	Neoplasms	"Myxoma, intracardiac,  "		
atrial septal defect 2	Cardiovascular Diseases	"Atrial septal defect 2,  "		Cardiovascular
atrial septal defect 4	Cardiovascular Diseases	"Atrial septal defect 4,  "		Cardiovascular
atrial septal defect 5	Cardiovascular Diseases	"Atrial septal defect 5,  "		Cardiovascular
atrial septal defect 6	Cardiovascular Diseases	"Atrial septal defect 6,  "		Cardiovascular
atrichia with papular lesions	Skin and Connective Tissue Diseases	"Atrichia with papular lesions,  "		
atrioventricular block		Atrioventricular conduction		Cardiovascular
"atrioventricular septal defect, partial, with heterotaxy syndrome"	Cardiovascular Diseases	"{Atrioventricular septal defect, susceptibility to, 2},  "		Cardiovascular
atr-x syndrome	Nervous System Diseases	"Alpha-thalassemia/mental retardation syndrome,  "		
atypical hemolytic uremic syndrome	Male Urogenital Diseases	"{Hemolytic uremic syndrome, atypical, susceptibility to, 6},  "		
"atypical mycobacteriosis, familial, x-linked 1"	Bacterial Infections and Mycoses	"{Atypical mycobacteriosis, familial},  "		Infection
"atypical mycobacteriosis, familial, x-linked 2"	Bacterial Infections and Mycoses	"Atypical mycobacteriosis, familial, X-linked 2,  "		Infection
"auditory neuropathy, autosomal dominant, 1"	Otorhinolaryngologic Diseases	"Auditory neuropathy, autosomal dominant, 1,  "		
"aural atresia, congenital"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Aural atresia, congenital,  "		
auriculo-condylar syndrome	Otorhinolaryngologic Diseases	"Auriculocondylar syndrome 1,  "		
autoantibodies		Anti-cyclic Citrullinated Peptide Antibody		
autoimmune lymphoproliferative syndrome	Hemic and Lymphatic Diseases	"Immunodeficiency due to CASP8 deficiency,  "		Blood
"autoimmune lymphoproliferative syndrome, type iia"	Hemic and Lymphatic Diseases	"Autoimmune lymphoproliferative syndrome, type II,  "		Blood
"autoimmune polyendocrinopathy syndrome, type 1"	Endocrine System Diseases	"Autoimmune polyendocrinopathy syndrome , type I, with or without reversible metaphyseal dysplasia,  "		Endocrine
azoospermia		Non-obstructive azoospermia		Urogenital
"azoospermia, nonobstructive"	Male Urogenital Diseases	"Spermatogenic failure 3,  "		
bamforth syndrome	Musculoskeletal Diseases	"Bamforth-Lazarus syndrome,  "		
barakat syndrome	Otorhinolaryngologic Diseases	"Hypoparathyroidism, sensorineural deafness, and renal dysplasia,  "		
bardet-biedl syndrome	Nervous System Diseases	"{Bardet-Biedl syndrome 1, modifier of},  "		
bare lymphocyte syndrome 2	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Bare lymphocyte syndrome, type II, complementation group A,  "		
"bare lymphocyte syndrome, type i"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Bare lymphocyte syndrome, type I,  "		
barth syndrome	Cardiovascular Diseases	"Barth syndrome,  "		Cardiovascular
"bartter syndrome, antenatal , type 2"	Male Urogenital Diseases	"Bartter syndrome, type 2,  "		
"bartter syndrome, antenatal type 1"	Male Urogenital Diseases	"Bartter syndrome, type 1,  "		
"bartter syndrome, type 3"	Male Urogenital Diseases	"Bartter syndrome, type 3,  "		
"bartter syndrome, type 4a"	Otorhinolaryngologic Diseases	"Sensorineural deafness with mild renal dysfunction,  "		
"bartter syndrome, type 4b"	Otorhinolaryngologic Diseases	"Bartter syndrome, type 4b, digenic,  "		
"basal ganglia disease, biotin-responsive"	Nervous System Diseases	"Thiamine metabolism dysfunction syndrome 2 (biotin- or thiamine-responsive encephalopathy type 2),  "		
basal laminar drusen	Eye Diseases	"Basal laminar drusen,  "		Eye
beckwith-wiedemann syndrome	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Beckwith-Wiedemann syndrome,  "		
benign essential blepharospasm	Eye Diseases	"{Blepharospasm, primary benign},  "		Eye
benzene		benzene toxicity		
bernard-soulier syndrome	Hemic and Lymphatic Diseases	"Bernard-Soulier syndrome, type A1 (recessive),  "		Blood
beta 2-glycoprotein i		&beta;2-Glycoprotein I (&beta;2-GPI) plasma levels		
beta ketothiolase deficiency	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Alpha-methylacetoacetic aciduria,  "		
beta-hydroxyisobutyryl coa deacylase deficiency	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"3-hydroxyisobutryl-CoA hydrolase deficiency,  "		
beta-mannosidosis	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Mannosidosis, beta,  "		
beta-thalassemia		Beta thalassemia/hemoglobin E disease		Blood
beta-ureidopropionase deficiency	Nervous System Diseases	"Beta-ureidopropionase deficiency,  "		
bethlem myopathy	Musculoskeletal Diseases	"Bethlem myopathy,  "		
bietti's crystalline dystrophy	Eye Diseases	"Bietti crystalline corneoretinal dystrophy,  "		Eye
bifid nose with or without anorectal and renal anomalies	Digestive System Diseases	"Bifid nose with or without anorectal and renal anomalies,  "		Digestive system
"bile acid malabsorption, primary"	Digestive System Diseases	"Bile acid malabsorption, primary,  "		Digestive system
"bile acid synthesis defect, congenital, 1"	Digestive System Diseases	"Bile acid synthesis defect, congenital, 1,  "		Digestive system
"bile acid synthesis defect, congenital, 2"	Digestive System Diseases	"Bile acid synthesis defect, congenital, 2,  "		Digestive system
"bile acid synthesis defect, congenital, 4"	Digestive System Diseases	"Bile acid synthesis defect, congenital, 4,  "		Digestive system
bile duct diseases		Sclerosing cholangitis and ulcerative colitis (combined)		Digestive system
biliary atresia		Biliary atresia		Liver & kidney
bilirubin		Bilirubin levels		Liver & kidney
biological markers		Multiple serum and urine biomarkers in WTCCC BRIGHT samples		Miscellaneous
biotinidase deficiency	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Biotinidase deficiency,  "		
birk-barel mental retardation dysmorphism syndrome	Musculoskeletal Diseases	"Birk-Barel mental retardation dysmorphism syndrome,  "		
birth weight		Birth weight		Metabolic
birt-hogg-dube syndrome	Neoplasms	"Birt-Hogg-Dube syndrome,  "		
bisphosphonate-associated osteonecrosis of the jaw		Osteonecrosis of the jaw		
bjornstad syndrome	Otorhinolaryngologic Diseases	"Bjornstad syndrome,  "		
bleomycin		Bleomycin sensitivity		Oncology
"blepharophimosis, ptosis, and epicanthus inversus"	Eye Diseases	"Blepharophimosis, epicanthus inversus, and ptosis, type 2,  "		Eye
blood [subheading]		Blood Phenotypes		
blood coagulation		End-stage coagulation		Blood
blood coagulation factors		Coagulation factor levels		Blood
blood group antigens		Haemotological (blood) traits		Blood
blood platelet disorders		Platelet counts		Blood
blood pressure		Blood pressure		Cardiovascular
blood proteins		Serum albumin level		Blood
blood sedimentation		Erythrocyte sedimentation rate		Blood
bloom syndrome	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Bloom syndrome,  "		
blue cone monochromatism	Nervous System Diseases	"Blue cone monochromacy,  "		
body height		GWAS of height-adjusted highest forced expiratory volume in a British population		Metabolic
body mass index		BMI    rosiglitazone or pioglitazone		Metabolic
body weight		body weight		
body weight changes		Lean body mass and age at menarche (combined)		
bohring syndrome	Musculoskeletal Diseases	"Bohring-Opitz syndrome,  "		
bone density		Bone mass and geometry		Musculoskeletal
"bone fragility with contractures, arterial rupture, and deafness"	Musculoskeletal Diseases	"Lysyl hydroxylase 3 deficiency,  "		
boomerang dysplasia	Musculoskeletal Diseases	"Boomerang dysplasia,  "		
borderline personality disorder		Borderline Personality Disorder		
borjeson-forssman-lehmann syndrome	Nervous System Diseases	"Borjeson-Forssman-Lehmann syndrome,  "		
bothnia retinal dystrophy	Eye Diseases	"Bothnia retinal dystrophy,  "		Eye
bowen-conradi syndrome	Nervous System Diseases	"Bowen-Conradi syndrome,  "		
brachial plexus		Brachial circumference		
brachydactyly type a1	Musculoskeletal Diseases	"Brachydactyly, type A1,  "		
brachydactyly type a2	Musculoskeletal Diseases	"Brachydactyly, type A2,  "		
brachydactyly type c	Musculoskeletal Diseases	"Brachydactyly, type C,  "		
"brachydactyly, type b1"	Musculoskeletal Diseases	"Brachydactyly, type B1,  "		
"brachydactyly, type d"	Musculoskeletal Diseases	"Brachydactyly, type D,  "		
brachydactyly-syndactyly syndrome	Musculoskeletal Diseases	"Brachydactyly-syndactyly syndrome,  "		
brachyolmia type 3	Musculoskeletal Diseases	"Brachyolmia type 3,  "		
brain		Brain structure		Neurological/behavioral
brain diseases		MRI atrophy measures		Neurological/behavioral
brain small vessel disease with hemorrhage	Nervous System Diseases	"Brain small vessel disease with hemorrhage,  "		
branchiootic syndrome 3	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Brachiootic syndrome 3,  "		
branchio-oto-renal syndrome	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Branchiooculofacial syndrome,  "		
breast diseases		Breast density		Skin & connective tissue
"breast neoplasms, male"		Breast cancer (male)		Oncology
brody myopathy	Musculoskeletal Diseases	"Brody myopathy,  "		
bronchiectasis with or without elevated sweat chloride 1	Respiratory Tract Diseases	"{Bronchiectasis with or without elevated sweat chloride 1, modifier of},  "		
bronchiectasis with or without elevated sweat chloride 2	Respiratory Tract Diseases	"Bronchiectasis with or without elevated sweat chloride 2,  "		
bronchiectasis with or without elevated sweat chloride 3	Respiratory Tract Diseases	"Bronchiectasis with or without elevated sweat chloride 3,  "		
bronchodilator agents		bronchodilator response		
brown-vialetto-van laere syndrome	Otorhinolaryngologic Diseases	"Brown-Vialetto-Van Laere syndrome 1,  "		
bruck syndrome 2	Musculoskeletal Diseases	"Bruck syndrome 2,  "		
brugada syndrome	Cardiovascular Diseases	"Brugada syndrome 1,  "		Cardiovascular
brugada syndrome 2	Cardiovascular Diseases	"Brugada syndrome 2,  "		Cardiovascular
brugada syndrome 3	Cardiovascular Diseases	"Brugada syndrome 3,  "		Cardiovascular
brugada syndrome 4	Cardiovascular Diseases	"Brugada syndrome 4,  "		Cardiovascular
brugada syndrome 5	Cardiovascular Diseases	"Cardiac conduction defect, nonspecific,  "		Cardiovascular
brugada syndrome 6	Cardiovascular Diseases	"Brugada syndrome 6,  "		Cardiovascular
brugada syndrome 7	Cardiovascular Diseases	"Brugada syndrome 7,  "		Cardiovascular
brugada syndrome 8	Cardiovascular Diseases	"Brugada syndrome 8,  "		Cardiovascular
brunner syndrome	Nervous System Diseases	"Brunner syndrome,  "		
bruton type agammaglobulinemia	Hemic and Lymphatic Diseases	"Agammaglobulinemia, X-linked 1,  "		Blood
budd-chiari syndrome	Digestive System Diseases	"{Budd-Chiari syndrome},  "		Digestive system
"bulbar palsy, progressive"	Nervous System Diseases	"Fazio-Londe disease,  "		
"bulbospinal neuronopathy, x-linked recessive"	Nervous System Diseases	"Spinal and bulbar muscular atrophy of Kennedy,  "		
bulimia nervosa	Mental Disorders	"{Anorexia nervosa, susceptibility to},  "		
burkitt lymphoma	Virus Diseases	"Burkitt lymphoma,  "		
buruli ulcer	Bacterial Infections and Mycoses	"{Buruli ulcer, susceptibility to},  "		Infection
buschke-ollendorff syndrome	Musculoskeletal Diseases	"Osteopoikilosis,  "		
cadasil	Nervous System Diseases	"Cerebral arteriopathy with subcortical infarcts and leukoencephalopathy,  "		
calcification of joints and arteries	Musculoskeletal Diseases	"Calcification of joints and arteries,  "		
campomelic dysplasia	Musculoskeletal Diseases	"Campomelic dysplasia,  "		
camurati-engelmann syndrome	Musculoskeletal Diseases	"Camurati-Engelmann disease,  "		
canavan disease	Nervous System Diseases	"Canavan disease,  "		
"candidiasis familial chronic mucocutaneous, autosomal recessive"	Bacterial Infections and Mycoses	"Candidiasis, familial, 4, autosomal recessive,  "		Infection
capillary malformation-arteriovenous malformation	Cardiovascular Diseases	"Capillary malformation-arteriovenous malformation,  "		Cardiovascular
"capillary malformations, congenital, 1"	Cardiovascular Diseases	"Capillary malformations, congenital, 1, somatic, mosaic,  "		Cardiovascular
carbamoyl-phosphate synthase i deficiency disease	Nervous System Diseases	"Carbamoylphosphate synthetase I deficiency,  "		
carboxypeptidase n deficiency	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Carboxypeptidase N deficiency,  "		
"carcinoid tumors, intestinal"	Neoplasms	"Carcinoid tumors, intestinal,  "		
"carcinoma, basal cell"		Basal cell carcinoma (cutaneous)		Oncology
"carcinoma, endometrioid"		"Carcinoma, Endometrioid|Endometrial Neoplasms|"		
"carcinoma, hepatocellular"		"Carcinoma, Hepatocellular|Hepatitis B|Hepatitis C|Liver Neoplasms"		Oncology
"carcinoma, small cell"	Neoplasms	"Small cell cancer of the lung, somatic,  "		
"carcinoma, squamous cell"		Squamous cell carcinoma		Oncology
"carcinoma, squamous cell of head and neck"	Neoplasms	"Squamous cell carcinoma, head and neck,  "		
"cardiac arrhythmia, ankyrin-b-related"	Cardiovascular Diseases	"Long QT syndrome-4,  "		Cardiovascular
cardiac conduction defect	Cardiovascular Diseases	"{Cardiac conduction defect, susceptibility to},  "		Cardiovascular
"cardiac valvular dysplasia, x-linked"	Neoplasms	"Cardiac valvular dysplasia, X-linked,  "		
"cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency"	Musculoskeletal Diseases	"Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 1,  "		
cardiofaciocutaneous syndrome	Cardiovascular Diseases	"Cardiofaciocutaneous syndrome,  "		Cardiovascular
cardiomegaly		Cardiac hypertrophy		Cardiovascular
cardiomyopathy dilated with woolly hair and keratoderma	Cardiovascular Diseases	"Dilated cardiomyopathy with woolly hair and keratoderma,  "		Cardiovascular
"cardiomyopathy, dilated, 1aa"	Cardiovascular Diseases	"Cardiomyopathy, dilated, 1AA,  "		Cardiovascular
"cardiomyopathy, dilated, 1bb"	Cardiovascular Diseases	"Cardiomyopathy, dilated, 1BB,  "		Cardiovascular
"cardiomyopathy, dilated, 1c"	Cardiovascular Diseases	"Left ventricular noncompaction 3, with or without dilated cardiomyopathy,  "		Cardiovascular
"cardiomyopathy, dilated, 1cc"	Cardiovascular Diseases	"Cardiomyopathy, dilated, 1CC,  "		Cardiovascular
"cardiomyopathy, dilated, 1d"	Cardiovascular Diseases	"Left ventricular noncompaction 6,  "		Cardiovascular
"cardiomyopathy, dilated, 1dd"	Cardiovascular Diseases	"Cardiomyopathy, dilated, 1DD,  "		Cardiovascular
"cardiomyopathy, dilated, 1e"	Cardiovascular Diseases	"Cardiomyopathy, dilated, 1E,  "		Cardiovascular
"cardiomyopathy, dilated, 1ee"	Cardiovascular Diseases	"Cardiomyopathy, dilated, 1EE,  "		Cardiovascular
"cardiomyopathy, dilated, 1ff"	Cardiovascular Diseases	"Cardiomyopathy, dilated, 1FF,  "		Cardiovascular
"cardiomyopathy, dilated, 1g"	Cardiovascular Diseases	"Cardiomyopathy, dilated, 1G,  "		Cardiovascular
"cardiomyopathy, dilated, 1i"	Cardiovascular Diseases	"Cardiomyopathy, dilated, 1I,  "		Cardiovascular
"cardiomyopathy, dilated, 1j"	Otorhinolaryngologic Diseases	"Cardiomyopathy, dilated, 1J,  "		
"cardiomyopathy, dilated, 1l"	Cardiovascular Diseases	"Cardiomyopathy, dilated, 1L,  "		Cardiovascular
"cardiomyopathy, dilated, 1m"	Cardiovascular Diseases	"Cardiomyopathy, dilated, 1M,  "		Cardiovascular
"cardiomyopathy, dilated, 1n"	Cardiovascular Diseases	"Cardiomyopathy, dilated, 1N,  "		Cardiovascular
"cardiomyopathy, dilated, 1o"	Cardiovascular Diseases	"Cardiomyopathy, dilated, 1O,  "		Cardiovascular
"cardiomyopathy, dilated, 1p"	Cardiovascular Diseases	"Cardiomyopathy, dilated, 1P,  "		Cardiovascular
"cardiomyopathy, dilated, 1s"	Cardiovascular Diseases	"Left ventricular noncompaction 5,  "		Cardiovascular
"cardiomyopathy, dilated, 1t"	Cardiovascular Diseases	"Cardiomyopathy, dilated, 1T,  "		Cardiovascular
"cardiomyopathy, dilated, 1u"	Cardiovascular Diseases	"Cardiomyopathy, dilated, 1U,  "		Cardiovascular
"cardiomyopathy, dilated, 1v"	Cardiovascular Diseases	"Cardiomyopathy, dilated, 1V,  "		Cardiovascular
"cardiomyopathy, dilated, 1w"	Cardiovascular Diseases	"Cardiomyopathy, dilated, 1W,  "		Cardiovascular
"cardiomyopathy, dilated, 1x"	Cardiovascular Diseases	"Cardiomyopathy, dilated, 1X,  "		Cardiovascular
"cardiomyopathy, dilated, 1y"	Cardiovascular Diseases	"Cardiomyopathy, dilated, 1Y,  "		Cardiovascular
"cardiomyopathy, dilated, 1z"	Cardiovascular Diseases	"Cardiomyopathy, dilated, 1Z,  "		Cardiovascular
"cardiomyopathy, dilated, 2a"	Cardiovascular Diseases	"Cardiomyopathy, dilated, 2A,  "		Cardiovascular
"cardiomyopathy, familial hypertrophic, 1"	Cardiovascular Diseases	"Cardiomyopathy, familial hypertrophic,  "		Cardiovascular
"cardiomyopathy, familial hypertrophic, 10"	Cardiovascular Diseases	"Cardiomyopathy, familial hypertrophic, 10,  "		Cardiovascular
"cardiomyopathy, familial hypertrophic, 11"	Cardiovascular Diseases	"Cardiomyopathy, familial hypertrophic, 11,  "		Cardiovascular
"cardiomyopathy, familial hypertrophic, 13"	Cardiovascular Diseases	"Cardiomyopathy, familial hypertrophic, 13,  "		Cardiovascular
"cardiomyopathy, familial hypertrophic, 14"	Cardiovascular Diseases	"Cardiomyopathy, familial hypertrophic, 14,  "		Cardiovascular
"cardiomyopathy, familial hypertrophic, 15"	Cardiovascular Diseases	"Cardiomyopathy, familial hypertrophic, 15,  "		Cardiovascular
"cardiomyopathy, familial hypertrophic, 2"	Cardiovascular Diseases	"Cardiomyopathy, familial hypertrophic, 2,  "		Cardiovascular
"cardiomyopathy, familial hypertrophic, 3"	Cardiovascular Diseases	"Cardiomyopathy, familial hypertrophic, 3,  "		Cardiovascular
"cardiomyopathy, familial hypertrophic, 4"	Cardiovascular Diseases	"Cardiomyopathy, familial hypertrophic, 4,  "		Cardiovascular
"cardiomyopathy, familial hypertrophic, 6"	Cardiovascular Diseases	"Cardiomyopathy, familial hypertrophic 6,  "		Cardiovascular
"cardiomyopathy, familial hypertrophic, 8"	Cardiovascular Diseases	"Cardiomyopathy, familial hypertrophic, 8,  "		Cardiovascular
"cardiomyopathy, familial hypertrophic, 9"	Cardiovascular Diseases	"Cardiomyopathy, familial hypertrophic, 9,  "		Cardiovascular
"cardiomyopathy, familial restrictive, 1"	Cardiovascular Diseases	"Cardiomyopathy, familial restrictive,  "		Cardiovascular
"cardiomyopathy, familial restrictive, 3"	Cardiovascular Diseases	"Cardiomyopathy, familial restrictive, 3,  "		Cardiovascular
cardiovascular disease		cardiovascular disease		Cardiovascular
carney complex variant	Neoplasms	"Carney complex variant,  "		
carney-stratakis syndrome	Neoplasms	"Paraganglioma and gastric stromal sarcoma,  "		
carnitine palmitoyl transferase 1a deficiency	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"CPT deficiency, hepatic, type IA,  "		
"carnitine palmitoyltransferase ii deficiency, infantile"	Digestive System Diseases	"CPT deficiency, hepatic, type II,  "		Digestive system
"carnitine palmitoyltransferase ii deficiency, late-onset"	Musculoskeletal Diseases	"Myopathy due to CPT II deficiency,  "		
"carnitine palmitoyltransferase ii deficiency, lethal neonatal"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"CPT II deficiency, lethal neonatal,  "		
carnitine-acylcarnitine translocase deficiency	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Carnitine-acylcarnitine translocase deficiency,  "		
carotid artery diseases		Carotid Artery Diseases|		Cardiovascular
carotid intimal medial thickness 1	Cardiovascular Diseases	"Carotid intimal medial thickness 1,  "		Cardiovascular
carotid intima-media thickness		Carotid intima media thickness		Cardiovascular
carpal tunnel syndrome	Nervous System Diseases	"Carpal tunnel syndrome, familial,  "		
carrier proteins		*605204 TORSIN-A; DYT1		
cartilage-hair hypoplasia	Musculoskeletal Diseases	"Cartilage-hair hypoplasia,  "		
"cataract, autosomal dominant"	Eye Diseases	"Cataract 9, multiple types,  "		Eye
"cataract, autosomal dominant, multiple types 1"	Eye Diseases	"Cataract 12, multiple types,  "		Eye
"cataract, autosomal recessive congenital 2"	Eye Diseases	"Cataract 18, autosomal recessive,  "		Eye
"cataract, congenital nuclear, autosomal recessive 2"	Eye Diseases	"Cataract 22, autosomal recessive,  "		Eye
"cataract, congenital nuclear, autosomal recessive 3"	Eye Diseases	"Cataract 17, multiple types,  "		Eye
"cataract, congenital zonular, with sutural opacities"	Eye Diseases	"Cataract 10, multiple types,  "		Eye
"cataract, coppock-like"	Eye Diseases	"Cataract 2, multiple types,  "		Eye
"cataract, cortical, juvenile-onset"	Eye Diseases	"Cataract 33,  "		Eye
"cataract, juvenile, with microcornea and glucosuria"	Eye Diseases	"Cataract, juvenile, with microcornea and glucosuria,  "		Eye
"cataract, nuclear diffuse nonprogressive"	Eye Diseases	"Cataract 30, pulverulent,  "		Eye
"cataract, posterior polar, 3"	Eye Diseases	"Cataract 31, multiple types,  "		Eye
"cataract, posterior polar, 4"	Eye Diseases	"Cataract 11, syndromic,  "		Eye
"cataract, pulverulent, juvenile-onset"	Eye Diseases	"Cataract, pulverulent or cerulean, with or without microcornea,  "		Eye
"cataract, zonular"	Eye Diseases	"Cataract 5, multiple types,  "		Eye
"cataract, zonular pulverulent 1"	Eye Diseases	"Cataract 1, multiple types,  "		Eye
"cataract, zonular pulverulent 3"	Eye Diseases	"Cataract 14, multiple types,  "		Eye
catshl syndrome	Musculoskeletal Diseases	"CATSHL syndrome,  "		
caudal duplication anomaly	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Caudal duplication anomaly,  "		
caudate nucleus		Caudate nucleus volume		
cd59 deficiency	Male Urogenital Diseases	"CD59 deficiency,  "		
"cd8 deficiency, familial"	Immune System Diseases	"CD8 deficiency, familial,  "		
cell adhesion molecules		Soluble levels of adhesion molecules		Skin & connective tissue
"cerebellar ataxia, cayman type"	Nervous System Diseases	"Ataxia, cerebellar, Cayman type,  "		
"cerebellar ataxia, mental retardation, and dysequilibrium syndrome 2"	Nervous System Diseases	"Cerebellar ataxia, mental retardation, and dysequilibrium syndrome 2,  "		
"cerebellar ataxia, mental retardation, and dysequilibrium syndrome 3"	Nervous System Diseases	"Cerebellar ataxia and mental retardation with or without quadrupedal locomotion 3,  "		
"cerebral amyloid angiopathy, app-related"	Nervous System Diseases	"Cerebral amyloid angiopathy, Dutch, Italian, Iowa, Flemish, Arctic variants,  "		
"cerebral amyloid angiopathy, familial"	Nervous System Diseases	"Cerebral amyloid angiopathy,  "		
cerebral cavernous malformations 2	Musculoskeletal Diseases	"Cerebral cavernous malformations-2,  "		
cerebral cavernous malformations 3	Musculoskeletal Diseases	"Cerebral cavernous malformations 3,  "		
"cerebral dysgenesis, neuropathy, ichthyosis, and palmoplantar keratoderma syndrome"	Nervous System Diseases	"Cerebral dysgenesis, neuropathy, ichthyosis, and palmoplantar keratoderma syndrome,  "		
"cerebral palsy, spastic quadriplegic, 1"	Nervous System Diseases	"Cerebral palsy, spastic quadriplegic, 1,  "		
"cerebral palsy, spastic quadriplegic, 2"	Nervous System Diseases	"Cerebral palsy, spastic quadriplegic, 2,  "		
cerebrooculofacioskeletal syndrome 1	Musculoskeletal Diseases	"Cerebrooculofacioskeletal syndrome 1,  "		
cerebrooculofacioskeletal syndrome 2	Musculoskeletal Diseases	"Cerebrooculofacioskeletal syndrome 2,  "		
cerebrooculofacioskeletal syndrome 4	Musculoskeletal Diseases	"Cerebrooculofacioskeletal syndrome 4,  "		
"ceroid lipofuscinosis, neuronal 5"	Nervous System Diseases	"Ceroid lipofuscinosis, neuronal, 5,  "		
"ceroid lipofuscinosis, neuronal 8"	Nervous System Diseases	"Ceroid lipofuscinosis, neuronal, 8, Northern epilepsy variant,  "		
"ceroid lipofuscinosis, neuronal, 1"	Nervous System Diseases	"Ceroid lipofuscinosis, neuronal, 1,  "		
"ceroid lipofuscinosis, neuronal, 10"	Nervous System Diseases	"Ceroid lipofuscinosis, neuronal, 10,  "		
"ceroid lipofuscinosis, neuronal, 2"	Nervous System Diseases	"Ceroid lipofuscinosis, neuronal, 2,  "		
"ceroid lipofuscinosis, neuronal, 6"	Nervous System Diseases	"Ceroid lipofuscinosis, neuronal, 6,  "		
"ceroid lipofuscinosis, neuronal, 7"	Nervous System Diseases	"Ceroid lipofuscinosis, neuronal, 7,  "		
cervical intraepithelial neoplasia		cervical intraepithelial neoplasia grade 3		
char syndrome	Cardiovascular Diseases	"Char syndrome,  "		Cardiovascular
charcot-marie-tooth disease	Nervous System Diseases	"Charcot-Marie-Tooth disease, type 1A,  "		
"charcot-marie-tooth disease, axonal, type 2a1"	Nervous System Diseases	"Charcot-Marie-Tooth disease, type 2A1,  "		
"charcot-marie-tooth disease, axonal, type 2a2"	Nervous System Diseases	"Charcot-Marie-Tooth disease, type 2A2,  "		
"charcot-marie-tooth disease, axonal, type 2n"	Nervous System Diseases	"Charcot-Marie-Tooth disease, axonal, type 2N,  "		
"charcot-marie-tooth disease, demyelinating, type 1e"	Otorhinolaryngologic Diseases	"Charcot-Marie-Tooth disease, type 1E,  "		
"charcot-marie-tooth disease, dominant intermediate b"	Nervous System Diseases	"Charcot-Marie-Tooth disease, dominant intermediate B,  "		
"charcot-marie-tooth disease, dominant intermediate c"	Nervous System Diseases	"Charcot-Marie-Tooth disease, dominant intermediate C,  "		
"charcot-marie-tooth disease, dominant intermediate d"	Nervous System Diseases	"Charcot-Marie-Tooth disease, dominant intermediate D,  "		
"charcot-marie-tooth disease, recessive intermediate a"	Nervous System Diseases	"Charcot-Marie-Tooth disease, recessive intermediate, A,  "		
"charcot-marie-tooth disease, type 1c"	Nervous System Diseases	"Charcot-Marie-Tooth disease, type 1C,  "		
"charcot-marie-tooth disease, type 1d"	Nervous System Diseases	"Charcot-Marie-Tooth disease, type 1D,  "		
