ti_uid	phasenum	phase	maxphasenum	maxphase	n_drugs
FCGR2B-D004686	2	Preclinical	2	Preclinical	1
FCGR2B-D005922	4	Phase II	4	Phase II	1
FCGR2B-D006967	3	Phase I	3	Phase I	1
FCGR2B-D007154	2	Preclinical	4	Phase II	1
FCGR2B-D008180	4	Phase II	4	Phase II	2
FCGR2B-D008180	4	Phase II	5	Phase III	1
FCGR2B-D008223	2	Preclinical	2	Preclinical	1
FCGR2B-D008224	4	Phase II	4	Phase II	1
FCGR2B-D008228	4	Phase II	4	Phase II	1
FCGR2B-D008415	2	Preclinical	2	Preclinical	1
FCGR2B-D009103	2	Preclinical	2	Preclinical	1
FCGR2B-D009103	4	Phase II	4	Phase II	1
FCGR2B-D009369	2	Preclinical	2	Preclinical	2
FCGR2B-D009369	4	Phase II	4	Phase II	1
FCGR2B-D011565	2	Preclinical	2	Preclinical	1
FCGR2B-D015451	2	Preclinical	2	Preclinical	2
FCGR2B-D015451	4	Phase II	4	Phase II	1
FCGR2B-D016393	2	Preclinical	2	Preclinical	2
FCGR2B-D016403	2	Preclinical	2	Preclinical	1
FCGR2B-D016553	4	Phase II	4	Phase II	1
FCGR2B-D018442	4	Phase II	4	Phase II	1
FCGR2B-D020522	4	Phase II	4	Phase II	1
FCGR2B-D029424	4	Phase II	4	Phase II	1
FCGR2B-D065631	3	Phase I	3	Phase I	1
FCGR3A-D001172	2	Preclinical	2	Preclinical	2
FCGR3A-D001201	6	Launched	6	Launched	1
FCGR3A-D001650	4	Phase II	4	Phase II	1
FCGR3A-D001749	4	Phase II	6	Launched	1
FCGR3A-D001943	2	Preclinical	2	Preclinical	1
FCGR3A-D001943	4	Phase II	4	Phase II	1
FCGR3A-D001943	5	Phase III	6	Launched	1
FCGR3A-D002289	3	Phase I	6	Launched	1
FCGR3A-D002289	4	Phase II	4	Phase II	1
FCGR3A-D004686	4	Phase II	4	Phase II	1
FCGR3A-D004938	4	Phase II	4	Phase II	2
FCGR3A-D005770	2	Preclinical	2	Preclinical	1
FCGR3A-D006258	4	Phase II	4	Phase II	1
FCGR3A-D006509	2	Preclinical	2	Preclinical	1
FCGR3A-D006689	4	Phase II	4	Phase II	1
FCGR3A-D007154	2	Preclinical	2	Preclinical	1
FCGR3A-D008113	4	Phase II	4	Phase II	1
FCGR3A-D008175	2	Preclinical	2	Preclinical	1
FCGR3A-D008175	4	Phase II	6	Launched	1
FCGR3A-D008180	2	Preclinical	2	Preclinical	1
FCGR3A-D008223	2	Preclinical	2	Preclinical	2
FCGR3A-D008228	2	Preclinical	2	Preclinical	1
FCGR3A-D008228	2	Preclinical	3	Phase I	1
FCGR3A-D008228	3	Phase I	3	Phase I	1
FCGR3A-D008415	4	Phase II	4	Phase II	1
FCGR3A-D009101	2	Preclinical	2	Preclinical	1
FCGR3A-D009101	3	Phase I	3	Phase I	2
FCGR3A-D009190	2	Preclinical	2	Preclinical	1
FCGR3A-D009190	4	Phase II	4	Phase II	2
FCGR3A-D009303	2	Preclinical	2	Preclinical	1
FCGR3A-D009369	2	Preclinical	2	Preclinical	4
FCGR3A-D009369	2	Preclinical	3	Phase I	1
FCGR3A-D009369	2	Preclinical	4	Phase II	2
FCGR3A-D009369	3	Phase I	3	Phase I	1
FCGR3A-D009369	3	Phase I	6	Launched	1
FCGR3A-D009369	4	Phase II	4	Phase II	2
FCGR3A-D010051	2	Preclinical	2	Preclinical	1
FCGR3A-D010051	5	Phase III	6	Launched	1
FCGR3A-D010190	4	Phase II	4	Phase II	1
FCGR3A-D010190	5	Phase III	6	Launched	1
FCGR3A-D010534	4	Phase II	4	Phase II	1
FCGR3A-D013274	4	Phase II	4	Phase II	2
FCGR3A-D013274	5	Phase III	6	Launched	1
FCGR3A-D013736	2	Preclinical	2	Preclinical	1
FCGR3A-D015179	5	Phase III	6	Launched	1
FCGR3A-D015451	2	Preclinical	2	Preclinical	1
FCGR3A-D015451	3	Phase I	3	Phase I	1
FCGR3A-D015470	2	Preclinical	2	Preclinical	1
FCGR3A-D015470	4	Phase II	4	Phase II	2
FCGR3A-D016393	3	Phase I	3	Phase I	2
FCGR3A-D016410	4	Phase II	4	Phase II	1
FCGR3A-D016411	4	Phase II	4	Phase II	1
FCGR3A-D016553	2	Preclinical	2	Preclinical	1
FCGR3A-D016553	3	Phase I	3	Phase I	1
FCGR3A-D019337	2	Preclinical	3	Phase I	1
FCGR3A-D019337	2	Preclinical	4	Phase II	1
FCGR3A-D054198	3	Phase I	3	Phase I	1
FCGR3A-D054198	4	Phase II	4	Phase II	1
FCGR3B-D001172	2	Preclinical	2	Preclinical	2
FCGR3B-D001201	6	Launched	6	Launched	1
FCGR3B-D001749	4	Phase II	6	Launched	1
FCGR3B-D001943	4	Phase II	4	Phase II	1
FCGR3B-D001943	5	Phase III	6	Launched	1
FCGR3B-D002289	3	Phase I	6	Launched	1
FCGR3B-D006258	4	Phase II	4	Phase II	1
FCGR3B-D007154	2	Preclinical	2	Preclinical	1
FCGR3B-D008175	4	Phase II	6	Launched	1
FCGR3B-D008180	2	Preclinical	2	Preclinical	1
FCGR3B-D008228	2	Preclinical	2	Preclinical	1
FCGR3B-D009369	2	Preclinical	2	Preclinical	1
FCGR3B-D009369	3	Phase I	6	Launched	1
FCGR3B-D010051	5	Phase III	6	Launched	1
FCGR3B-D010190	5	Phase III	6	Launched	1
FCGR3B-D010534	4	Phase II	4	Phase II	1
FCGR3B-D013274	5	Phase III	6	Launched	1
FCGR3B-D015179	5	Phase III	6	Launched	1
FCGR3B-D016553	2	Preclinical	2	Preclinical	1
FCGRT-D000744	4	Phase II	4	Phase II	1
FCGRT-D000744	4	Phase II	5	Phase III	1
FCGRT-D001172	4	Phase II	4	Phase II	1
FCGRT-D001327	3	Phase I	3	Phase I	1
FCGRT-D001327	3	Phase I	5	Phase III	1
FCGRT-D001327	3	Phase I	6	Launched	1
FCGRT-D001327	4	Phase II	5	Phase III	1
FCGRT-D003093	3	Phase I	4	Phase II	1
FCGRT-D003424	3	Phase I	4	Phase II	1
FCGRT-D004660	4	Phase II	5	Phase III	1
FCGRT-D007154	3	Phase I	5	Phase III	1
FCGRT-D008107	2	Preclinical	2	Preclinical	1
FCGRT-D008180	3	Phase I	6	Launched	1
FCGRT-D009103	3	Phase I	4	Phase II	1
FCGRT-D009157	4	Phase II	4	Phase II	2
FCGRT-D009157	5	Phase III	5	Phase III	3
FCGRT-D009157	6	Launched	6	Launched	1
FCGRT-D009220	2	Preclinical	5	Phase III	1
FCGRT-D009220	2	Preclinical	6	Launched	1
FCGRT-D009369	2	Preclinical	2	Preclinical	1
FCGRT-D009471	4	Phase II	5	Phase III	1
FCGRT-D010391	5	Phase III	5	Phase III	1
FCGRT-D010392	3	Phase I	5	Phase III	1
FCGRT-D010392	4	Phase II	4	Phase II	1
FCGRT-D010392	5	Phase III	5	Phase III	1
FCGRT-D010392	5	Phase III	6	Launched	1
FCGRT-D011565	4	Phase II	4	Phase II	1
FCGRT-D013921	5	Phase III	5	Phase III	1
FCGRT-D014605	4	Phase II	4	Phase II	1
FCGRT-D016553	5	Phase III	5	Phase III	3
FCGRT-D016553	5	Phase III	6	Launched	1
FCGRT-D020277	3	Phase I	5	Phase III	1
FCGRT-D020277	4	Phase II	5	Phase III	1
FCGRT-D020277	5	Phase III	5	Phase III	1
FCGRT-D020277	5	Phase III	6	Launched	1
FCGRT-D020278	5	Phase III	5	Phase III	1
FCGRT-D049970	5	Phase III	5	Phase III	1
FCGRT-D050031	3	Phase I	4	Phase II	1
FCGRT-D064420	2	Preclinical	2	Preclinical	1
FCRL5-D009101	2	Preclinical	2	Preclinical	1
FCRL5-D009101	4	Phase II	4	Phase II	1
FDFT1-D006937	2	Preclinical	2	Preclinical	2
FDFT1-D006949	2	Preclinical	2	Preclinical	1
FDFT1-D006949	5	Phase III	5	Phase III	1
FDFT1-D009369	2	Preclinical	2	Preclinical	1
FDFT1-D023903	2	Preclinical	2	Preclinical	1
FDFT1-D050197	2	Preclinical	2	Preclinical	1
FDPS-D010024	5	Phase III	5	Phase III	1
FDPS-D010024	6	Launched	6	Launched	1
FER-D009369	2	Preclinical	2	Preclinical	1
FFAR1-D000086382	2	Preclinical	2	Preclinical	2
FFAR1-D000740	2	Preclinical	5	Phase III	1
FFAR1-D001943	2	Preclinical	2	Preclinical	1
FFAR1-D003550	2	Preclinical	5	Phase III	1
FFAR1-D003920	2	Preclinical	2	Preclinical	8
FFAR1-D003920	3	Phase I	3	Phase I	1
FFAR1-D003924	2	Preclinical	2	Preclinical	19
FFAR1-D003924	3	Phase I	3	Phase I	4
FFAR1-D003924	4	Phase II	4	Phase II	4
FFAR1-D003924	4	Phase II	5	Phase III	1
FFAR1-D003924	5	Phase III	5	Phase III	1
FFAR1-D003928	3	Phase I	3	Phase I	1
FFAR1-D003928	4	Phase II	5	Phase III	1
FFAR1-D003929	3	Phase I	4	Phase II	1
FFAR1-D005923	2	Preclinical	5	Phase III	1
FFAR1-D006949	2	Preclinical	2	Preclinical	1
FFAR1-D008103	4	Phase II	5	Phase III	1
FFAR1-D009400	3	Phase I	5	Phase III	1
FFAR1-D009765	2	Preclinical	2	Preclinical	1
FFAR1-D009765	2	Preclinical	3	Phase I	1
FFAR1-D009765	2	Preclinical	5	Phase III	1
FFAR1-D009765	3	Phase I	4	Phase II	1
FFAR1-D012595	2	Preclinical	5	Phase III	1
FFAR1-D015228	2	Preclinical	5	Phase III	1
FFAR1-D018149	2	Preclinical	2	Preclinical	1
FFAR1-D024821	2	Preclinical	2	Preclinical	1
FFAR1-D024821	2	Preclinical	5	Phase III	1
FFAR1-D045743	2	Preclinical	5	Phase III	1
FFAR1-D045745	2	Preclinical	5	Phase III	1
FFAR1-D054990	2	Preclinical	2	Preclinical	1
FFAR1-D054990	4	Phase II	5	Phase III	1
FFAR1-D056769	5	Phase III	5	Phase III	1
FFAR1-D065626	2	Preclinical	3	Phase I	1
FFAR1-D065626	3	Phase I	3	Phase I	1
FFAR1-D065626	3	Phase I	5	Phase III	1
FFAR2-D000080424	3	Phase I	3	Phase I	1
FFAR2-D000086382	3	Phase I	3	Phase I	1
FFAR2-D003093	2	Preclinical	2	Preclinical	1
FFAR2-D003093	4	Phase II	4	Phase II	1
FFAR2-D003924	2	Preclinical	2	Preclinical	1
FFAR2-D006949	2	Preclinical	2	Preclinical	1
FFAR2-D007249	2	Preclinical	2	Preclinical	1
FFAR2-D012128	3	Phase I	3	Phase I	1
FFAR2-D015212	4	Phase II	4	Phase II	1
FFAR2-D018805	2	Preclinical	3	Phase I	1
FFAR2-D055371	2	Preclinical	3	Phase I	1
FFAR4-D003920	2	Preclinical	2	Preclinical	1
FFAR4-D003920	3	Phase I	3	Phase I	1
FFAR4-D003924	2	Preclinical	2	Preclinical	9
FFAR4-D003924	3	Phase I	3	Phase I	1
FFAR4-D003928	3	Phase I	3	Phase I	1
FFAR4-D007249	2	Preclinical	2	Preclinical	2
FFAR4-D008659	2	Preclinical	2	Preclinical	1
FFAR4-D009765	2	Preclinical	2	Preclinical	1
FFAR4-D065626	2	Preclinical	2	Preclinical	1
FFAR4-D065626	3	Phase I	3	Phase I	1
FGA-D000347	2	Preclinical	2	Preclinical	1
FGA-D000347	3	Phase I	3	Phase I	1
FGA-D000347	6	Launched	6	Launched	2
FGA-D000627	2	Preclinical	2	Preclinical	1
FGA-D001778	2	Preclinical	2	Preclinical	1
FGA-D006470	2	Preclinical	2	Preclinical	3
FGA-D006470	5	Phase III	5	Phase III	1
FGA-D006470	5	Phase III	6	Launched	1
FGA-D006470	6	Launched	6	Launched	3
FGA-D007403	5	Phase III	5	Phase III	1
FGA-D008595	2	Preclinical	2	Preclinical	1
FGA-D008595	4	Phase II	4	Phase II	1
FGA-D008595	6	Launched	6	Launched	1
FGA-D009369	2	Preclinical	2	Preclinical	1
FGA-D013514	2	Preclinical	2	Preclinical	2
FGA-D013514	4	Phase II	4	Phase II	2
FGA-D013514	5	Phase III	5	Phase III	1
FGA-D013514	5	Phase III	6	Launched	1
FGA-D013514	6	Launched	6	Launched	5
FGA-D013921	2	Preclinical	2	Preclinical	2
FGA-D013927	2	Preclinical	2	Preclinical	1
FGA-D014945	6	Launched	6	Launched	3
FGA-D034381	4	Phase II	4	Phase II	1
FGA-D059352	5	Phase III	5	Phase III	1
FGB-D000347	2	Preclinical	2	Preclinical	1
FGB-D000347	3	Phase I	3	Phase I	1
FGB-D000347	6	Launched	6	Launched	2
FGB-D000627	2	Preclinical	2	Preclinical	1
FGB-D001778	2	Preclinical	2	Preclinical	1
FGB-D006470	2	Preclinical	2	Preclinical	3
FGB-D006470	5	Phase III	5	Phase III	1
FGB-D006470	5	Phase III	6	Launched	1
FGB-D006470	6	Launched	6	Launched	3
FGB-D007403	5	Phase III	5	Phase III	1
FGB-D008595	2	Preclinical	2	Preclinical	1
FGB-D008595	6	Launched	6	Launched	1
FGB-D009369	2	Preclinical	2	Preclinical	1
FGB-D013514	2	Preclinical	2	Preclinical	2
FGB-D013514	4	Phase II	4	Phase II	1
FGB-D013514	5	Phase III	5	Phase III	1
FGB-D013514	5	Phase III	6	Launched	1
FGB-D013514	6	Launched	6	Launched	5
FGB-D013921	2	Preclinical	2	Preclinical	2
FGB-D013927	2	Preclinical	2	Preclinical	1
FGB-D014945	6	Launched	6	Launched	3
FGB-D034381	4	Phase II	4	Phase II	1
FGB-D059352	5	Phase III	5	Phase III	1
FGF1-D002545	2	Preclinical	2	Preclinical	1
FGF1-D003320	2	Preclinical	4	Phase II	1
FGF1-D003924	2	Preclinical	2	Preclinical	2
FGF1-D005642	4	Phase II	4	Phase II	1
FGF1-D007172	2	Preclinical	2	Preclinical	1
FGF1-D010300	2	Preclinical	2	Preclinical	1
FGF1-D013119	5	Phase III	5	Phase III	1
FGF1-D020521	2	Preclinical	2	Preclinical	1
FGF18-D002545	2	Preclinical	4	Phase II	1
FGF18-D010003	4	Phase II	4	Phase II	1
FGF18-D012038	4	Phase II	4	Phase II	1
FGF18-D020521	2	Preclinical	4	Phase II	1
FGF18-D050724	2	Preclinical	2	Preclinical	1
FGF2-D000072716	2	Preclinical	4	Phase II	1
FGF2-D002056	6	Launched	6	Launched	1
FGF2-D003930	4	Phase II	4	Phase II	1
FGF2-D004392	3	Phase I	4	Phase II	1
FGF2-D006816	2	Preclinical	2	Preclinical	1
FGF2-D007511	2	Preclinical	2	Preclinical	1
FGF2-D007511	4	Phase II	4	Phase II	1
FGF2-D008113	2	Preclinical	2	Preclinical	1
FGF2-D008269	4	Phase II	4	Phase II	1
FGF2-D009202	2	Preclinical	2	Preclinical	1
FGF2-D009369	2	Preclinical	2	Preclinical	1
FGF2-D009369	3	Phase I	3	Phase I	1
FGF2-D010012	2	Preclinical	4	Phase II	1
FGF2-D012174	4	Phase II	4	Phase II	1
FGF2-D012871	6	Launched	6	Launched	1
FGF2-D014456	6	Launched	6	Launched	1
FGF2-D014820	6	Launched	6	Launched	1
FGF2-D014945	6	Launched	6	Launched	1
FGF2-D016491	4	Phase II	4	Phase II	1
FGF2-D018058	6	Launched	6	Launched	1
FGF2-D054990	2	Preclinical	4	Phase II	1
FGF2-D057135	4	Phase II	4	Phase II	2
FGF2-D065306	6	Launched	6	Launched	1
FGF20-D003093	4	Phase II	4	Phase II	1
FGF20-D004941	4	Phase II	4	Phase II	1
FGF20-D015212	4	Phase II	4	Phase II	1
FGF20-D052016	4	Phase II	4	Phase II	1
FGF21-D000073496	2	Preclinical	2	Preclinical	1
FGF21-D003920	2	Preclinical	2	Preclinical	3
FGF21-D003920	2	Preclinical	3	Phase I	1
FGF21-D003920	2	Preclinical	4	Phase II	1
FGF21-D003924	2	Preclinical	2	Preclinical	4
FGF21-D003924	3	Phase I	3	Phase I	3
FGF21-D003924	3	Phase I	4	Phase II	1
FGF21-D003924	4	Phase II	4	Phase II	1
FGF21-D005355	3	Phase I	3	Phase I	1
FGF21-D005355	4	Phase II	4	Phase II	1
FGF21-D008103	4	Phase II	4	Phase II	1
FGF21-D008659	2	Preclinical	2	Preclinical	1
FGF21-D008659	2	Preclinical	4	Phase II	1
FGF21-D009765	2	Preclinical	2	Preclinical	3
FGF21-D009765	2	Preclinical	3	Phase I	2
FGF21-D009765	3	Phase I	3	Phase I	1
FGF21-D009765	3	Phase I	4	Phase II	2
FGF21-D015228	4	Phase II	4	Phase II	1
FGF21-D065626	2	Preclinical	2	Preclinical	4
FGF21-D065626	3	Phase I	3	Phase I	2
FGF21-D065626	4	Phase II	4	Phase II	6
FGF23-C580062	4	Phase II	6	Launched	1
FGF23-D009372	6	Launched	6	Launched	1
FGF23-D010018	6	Launched	6	Launched	1
FGF23-D017674	6	Launched	6	Launched	1
FGF4-D007511	2	Preclinical	2	Preclinical	1
FGF4-D009202	2	Preclinical	2	Preclinical	1
FGF4-D016491	2	Preclinical	2	Preclinical	1
FGF8-D001168	2	Preclinical	2	Preclinical	1
FGF8-D009369	2	Preclinical	2	Preclinical	1
FGF8-D010024	2	Preclinical	2	Preclinical	1
FGF9-D001714	2	Preclinical	2	Preclinical	1
FGF9-D003865	2	Preclinical	2	Preclinical	1
FGF9-D012559	2	Preclinical	2	Preclinical	1
FGFR1-D000070642	4	Phase II	4	Phase II	1
FGFR1-D000310	3	Phase I	4	Phase II	1
FGFR1-D000544	4	Phase II	4	Phase II	1
FGFR1-D001249	2	Preclinical	2	Preclinical	1
FGFR1-D001650	2	Preclinical	3	Phase I	2
FGFR1-D001650	3	Phase I	4	Phase II	1
FGFR1-D001650	4	Phase II	4	Phase II	4
FGFR1-D001650	4	Phase II	6	Launched	3
FGFR1-D001650	5	Phase III	6	Launched	1
FGFR1-D001650	6	Launched	6	Launched	3
FGFR1-D001749	2	Preclinical	3	Phase I	2
FGFR1-D001749	2	Preclinical	6	Launched	1
FGFR1-D001749	3	Phase I	3	Phase I	1
FGFR1-D001749	4	Phase II	4	Phase II	2
FGFR1-D001749	4	Phase II	5	Phase III	1
FGFR1-D001749	4	Phase II	6	Launched	3
FGFR1-D001749	5	Phase III	5	Phase III	1
FGFR1-D001749	5	Phase III	6	Launched	2
FGFR1-D001749	6	Launched	6	Launched	1
FGFR1-D001859	2	Preclinical	6	Launched	1
FGFR1-D001932	4	Phase II	4	Phase II	1
FGFR1-D001932	4	Phase II	6	Launched	4
FGFR1-D001943	2	Preclinical	2	Preclinical	1
FGFR1-D001943	2	Preclinical	6	Launched	1
FGFR1-D001943	3	Phase I	4	Phase II	2
FGFR1-D001943	3	Phase I	5	Phase III	1
FGFR1-D001943	3	Phase I	6	Launched	1
FGFR1-D001943	4	Phase II	4	Phase II	3
FGFR1-D001943	4	Phase II	5	Phase III	1
FGFR1-D001943	4	Phase II	6	Launched	3
FGFR1-D001943	5	Phase III	6	Launched	2
FGFR1-D002056	6	Launched	6	Launched	1
FGFR1-D002276	2	Preclinical	6	Launched	1
FGFR1-D002289	2	Preclinical	6	Launched	1
FGFR1-D002289	3	Phase I	6	Launched	2
FGFR1-D002289	4	Phase II	4	Phase II	2
FGFR1-D002289	4	Phase II	5	Phase III	2
FGFR1-D002289	4	Phase II	6	Launched	2
FGFR1-D002289	5	Phase III	6	Launched	1
FGFR1-D002289	6	Launched	6	Launched	1
FGFR1-D002545	2	Preclinical	2	Preclinical	1
FGFR1-D002545	4	Phase II	4	Phase II	1
FGFR1-D002583	3	Phase I	6	Launched	1
FGFR1-D002583	4	Phase II	4	Phase II	1
FGFR1-D002583	4	Phase II	5	Phase III	1
FGFR1-D002583	4	Phase II	6	Launched	2
FGFR1-D003072	4	Phase II	4	Phase II	1
FGFR1-D003920	2	Preclinical	2	Preclinical	3
FGFR1-D003920	3	Phase I	3	Phase I	1
FGFR1-D003924	3	Phase I	4	Phase II	2
FGFR1-D003930	2	Preclinical	2	Preclinical	1
FGFR1-D003930	2	Preclinical	4	Phase II	1
FGFR1-D004392	4	Phase II	6	Launched	1
FGFR1-D004938	3	Phase I	6	Launched	2
FGFR1-D004938	4	Phase II	4	Phase II	1
FGFR1-D004938	4	Phase II	5	Phase III	1
FGFR1-D004938	4	Phase II	6	Launched	5
FGFR1-D004938	5	Phase III	6	Launched	1
FGFR1-D005185	4	Phase II	4	Phase II	1
FGFR1-D005185	4	Phase II	6	Launched	1
FGFR1-D005185	6	Launched	6	Launched	1
FGFR1-D005770	3	Phase I	5	Phase III	1
FGFR1-D005770	3	Phase I	6	Launched	1
FGFR1-D005909	4	Phase II	4	Phase II	1
FGFR1-D005909	4	Phase II	6	Launched	4
FGFR1-D006258	2	Preclinical	6	Launched	1
FGFR1-D006258	4	Phase II	6	Launched	1
FGFR1-D006258	5	Phase III	6	Launched	2
FGFR1-D006333	3	Phase I	4	Phase II	1
FGFR1-D007383	3	Phase I	3	Phase I	1
FGFR1-D007383	3	Phase I	4	Phase II	1
FGFR1-D007511	2	Preclinical	2	Preclinical	2
FGFR1-D007680	2	Preclinical	2	Preclinical	1
FGFR1-D007680	3	Phase I	3	Phase I	1
FGFR1-D007680	3	Phase I	5	Phase III	1
FGFR1-D007680	4	Phase II	4	Phase II	1
FGFR1-D007680	5	Phase III	6	Launched	1
FGFR1-D007680	6	Launched	6	Launched	3
FGFR1-D007890	5	Phase III	6	Launched	2
FGFR1-D007938	4	Phase II	4	Phase II	1
FGFR1-D008080	3	Phase I	6	Launched	1
FGFR1-D008113	2	Preclinical	4	Phase II	1
FGFR1-D008113	3	Phase I	3	Phase I	2
FGFR1-D008113	3	Phase I	6	Launched	2
FGFR1-D008113	4	Phase II	4	Phase II	1
FGFR1-D008113	4	Phase II	5	Phase III	1
FGFR1-D008113	4	Phase II	6	Launched	3
FGFR1-D008113	5	Phase III	5	Phase III	1
FGFR1-D008113	6	Launched	6	Launched	1
FGFR1-D008175	2	Preclinical	2	Preclinical	1
FGFR1-D008175	4	Phase II	6	Launched	1
FGFR1-D008223	3	Phase I	4	Phase II	1
FGFR1-D008223	3	Phase I	6	Launched	3
FGFR1-D008223	4	Phase II	4	Phase II	1
FGFR1-D008527	4	Phase II	4	Phase II	1
FGFR1-D008527	4	Phase II	6	Launched	4
FGFR1-D008545	4	Phase II	4	Phase II	1
FGFR1-D008545	4	Phase II	5	Phase III	1
FGFR1-D008545	4	Phase II	6	Launched	3
FGFR1-D008545	5	Phase III	6	Launched	1
FGFR1-D008654	3	Phase I	6	Launched	1
FGFR1-D008654	4	Phase II	4	Phase II	1
FGFR1-D009101	4	Phase II	4	Phase II	1
FGFR1-D009101	4	Phase II	6	Launched	3
FGFR1-D009190	4	Phase II	4	Phase II	3
FGFR1-D009196	6	Launched	6	Launched	1
FGFR1-D009303	2	Preclinical	6	Launched	1
FGFR1-D009303	4	Phase II	5	Phase III	1
FGFR1-D009303	5	Phase III	6	Launched	1
FGFR1-D009369	2	Preclinical	2	Preclinical	13
FGFR1-D009369	3	Phase I	3	Phase I	11
FGFR1-D009369	3	Phase I	4	Phase II	2
FGFR1-D009369	4	Phase II	4	Phase II	9
FGFR1-D009369	4	Phase II	5	Phase III	2
FGFR1-D009369	4	Phase II	6	Launched	8
FGFR1-D009369	5	Phase III	6	Launched	1
FGFR1-D009369	6	Launched	6	Launched	1
FGFR1-D009765	2	Preclinical	2	Preclinical	3
FGFR1-D009765	3	Phase I	3	Phase I	1
FGFR1-D009765	3	Phase I	4	Phase II	2
FGFR1-D010024	2	Preclinical	2	Preclinical	1
FGFR1-D010051	4	Phase II	4	Phase II	1
FGFR1-D010051	4	Phase II	5	Phase III	1
FGFR1-D010051	4	Phase II	6	Launched	3
FGFR1-D010051	6	Launched	6	Launched	1
FGFR1-D010190	2	Preclinical	6	Launched	1
FGFR1-D010190	3	Phase I	6	Launched	1
FGFR1-D010190	4	Phase II	5	Phase III	1
FGFR1-D010190	4	Phase II	6	Launched	1
FGFR1-D010190	6	Launched	6	Launched	1
FGFR1-D010534	3	Phase I	6	Launched	1
FGFR1-D010534	4	Phase II	4	Phase II	1
FGFR1-D010534	4	Phase II	5	Phase III	1
FGFR1-D010534	4	Phase II	6	Launched	1
FGFR1-D010534	6	Launched	6	Launched	1
FGFR1-D011471	2	Preclinical	2	Preclinical	1
FGFR1-D011471	2	Preclinical	6	Launched	1
FGFR1-D011471	3	Phase I	4	Phase II	1
FGFR1-D011471	4	Phase II	5	Phase III	1
FGFR1-D011565	3	Phase I	6	Launched	1
FGFR1-D012170	2	Preclinical	4	Phase II	1
FGFR1-D012208	4	Phase II	6	Launched	1
FGFR1-D012509	2	Preclinical	6	Launched	1
FGFR1-D012509	3	Phase I	6	Launched	1
FGFR1-D012509	4	Phase II	4	Phase II	1
FGFR1-D012509	4	Phase II	5	Phase III	1
FGFR1-D012509	6	Launched	6	Launched	2
FGFR1-D012512	4	Phase II	6	Launched	1
FGFR1-D012516	2	Preclinical	6	Launched	1
FGFR1-D012516	4	Phase II	6	Launched	1
FGFR1-D013119	4	Phase II	4	Phase II	2
FGFR1-D013274	2	Preclinical	5	Phase III	1
FGFR1-D013274	3	Phase I	4	Phase II	1
FGFR1-D013274	3	Phase I	6	Launched	1
FGFR1-D013274	4	Phase II	4	Phase II	2
FGFR1-D013274	4	Phase II	5	Phase III	1
FGFR1-D013274	4	Phase II	6	Launched	5
FGFR1-D013274	5	Phase III	6	Launched	2
FGFR1-D013584	5	Phase III	6	Launched	2
FGFR1-D013683	4	Phase II	6	Launched	1
FGFR1-D013736	4	Phase II	5	Phase III	1
FGFR1-D013964	3	Phase I	3	Phase I	1
FGFR1-D013964	3	Phase I	6	Launched	1
FGFR1-D013964	4	Phase II	5	Phase III	1
FGFR1-D013964	4	Phase II	6	Launched	1
FGFR1-D013964	6	Launched	6	Launched	2
FGFR1-D014523	4	Phase II	4	Phase II	1
FGFR1-D014523	4	Phase II	6	Launched	1
FGFR1-D014625	4	Phase II	5	Phase III	1
FGFR1-D014945	3	Phase I	4	Phase II	1
FGFR1-D014945	4	Phase II	4	Phase II	2
FGFR1-D014945	6	Launched	6	Launched	1
FGFR1-D015179	3	Phase I	6	Launched	2
FGFR1-D015179	4	Phase II	4	Phase II	1
FGFR1-D015179	4	Phase II	5	Phase III	1
FGFR1-D015179	5	Phase III	5	Phase III	1
FGFR1-D015179	5	Phase III	6	Launched	2
FGFR1-D015451	3	Phase I	4	Phase II	1
FGFR1-D015451	4	Phase II	4	Phase II	1
FGFR1-D015464	3	Phase I	3	Phase I	1
FGFR1-D015464	4	Phase II	4	Phase II	2
FGFR1-D015464	6	Launched	6	Launched	1
FGFR1-D015470	2	Preclinical	2	Preclinical	1
FGFR1-D015470	3	Phase I	6	Launched	1
FGFR1-D015470	4	Phase II	4	Phase II	3
FGFR1-D015470	6	Launched	6	Launched	1
FGFR1-D016403	2	Preclinical	6	Launched	1
FGFR1-D016491	3	Phase I	3	Phase I	1
FGFR1-D016491	3	Phase I	4	Phase II	1
FGFR1-D016889	2	Preclinical	2	Preclinical	1
FGFR1-D016889	2	Preclinical	6	Launched	1
FGFR1-D016889	3	Phase I	3	Phase I	2
FGFR1-D016889	3	Phase I	6	Launched	1
FGFR1-D016889	4	Phase II	5	Phase III	2
FGFR1-D016889	4	Phase II	6	Launched	2
FGFR1-D016889	6	Launched	6	Launched	1
FGFR1-D017719	4	Phase II	4	Phase II	3
FGFR1-D018242	4	Phase II	6	Launched	1
FGFR1-D018278	6	Launched	6	Launched	1
FGFR1-D018307	2	Preclinical	2	Preclinical	1
FGFR1-D018307	4	Phase II	6	Launched	1
FGFR1-D018358	3	Phase I	6	Launched	1
FGFR1-D018358	4	Phase II	6	Launched	1
FGFR1-D018358	6	Launched	6	Launched	1
FGFR1-D019337	3	Phase I	6	Launched	1
FGFR1-D019337	4	Phase II	6	Launched	2
FGFR1-D020521	2	Preclinical	2	Preclinical	1
FGFR1-D020521	4	Phase II	4	Phase II	1
