ti_uid	gene	indication_mesh_id	indication_mesh_term
CHRM3-D029424	CHRM3	D029424	Pulmonary Disease, Chronic Obstructive
CHRM3-D029481	CHRM3	D029481	Bronchitis, Chronic
CHRM3-D053201	CHRM3	D053201	Urinary Bladder, Overactive
CHRM3-D065631	CHRM3	D065631	Rhinitis, Allergic
CHRM4-D001657	CHRM4	D001657	Biliary Dyskinesia
CHRM4-D001714	CHRM4	D001714	Bipolar Disorder
CHRM4-D001750	CHRM4	D001750	Urinary Bladder, Neurogenic
CHRM4-D003863	CHRM4	D003863	Depression
CHRM4-D004775	CHRM4	D004775	Enuresis
CHRM4-D010437	CHRM4	D010437	Peptic Ulcer
CHRM4-D011618	CHRM4	D011618	Psychotic Disorders
CHRM4-D012559	CHRM4	D012559	Schizophrenia
CHRM4-D014549	CHRM4	D014549	Urinary Incontinence
CHRM4-D014555	CHRM4	D014555	Urination Disorders
CHRM4-D053201	CHRM4	D053201	Urinary Bladder, Overactive
CHRNA4-D014029	CHRNA4	D014029	Tobacco Use Disorder
CHRNA7-D015352	CHRNA7	D015352	Dry Eye Syndromes
CHRNB2-D014029	CHRNB2	D014029	Tobacco Use Disorder
CLCN2-D000079689	CLCN2	D000079689	Opioid-Induced Constipation
CLCN2-D003248	CLCN2	D003248	Constipation
CLCN2-D043183	CLCN2	D043183	Irritable Bowel Syndrome
CNDP1-D011183	CNDP1	D011183	Postoperative Complications
CNR1-D000072716	CNR1	D000072716	Cancer Pain
CNR1-D000437	CNR1	D000437	Alcoholism
CNR1-D000855	CNR1	D000855	Anorexia
CNR1-D002032	CNR1	D002032	Bulimia
CNR1-D004827	CNR1	D004827	Epilepsy
CNR1-D004831	CNR1	D004831	Epilepsies, Myoclonic
CNR1-D009128	CNR1	D009128	Muscle Spasticity
CNR1-D009325	CNR1	D009325	Nausea
CNR1-D009437	CNR1	D009437	Neuralgia
CNR1-D009765	CNR1	D009765	Obesity
CNR1-D014029	CNR1	D014029	Tobacco Use Disorder
CNR1-D014402	CNR1	D014402	Tuberous Sclerosis
CNR1-D014839	CNR1	D014839	Vomiting
CNR1-D019247	CNR1	D019247	HIV Wasting Syndrome
CNR1-D052018	CNR1	D052018	Bulimia Nervosa
CNR1-D059226	CNR1	D059226	Nociceptive Pain
CNR1-D065768	CNR1	D065768	Lennox Gastaut Syndrome
CNR2-D000855	CNR2	D000855	Anorexia
CNR2-D002032	CNR2	D002032	Bulimia
CNR2-D052018	CNR2	D052018	Bulimia Nervosa
COL7A1-D004820	COL7A1	D004820	Epidermolysis Bullosa
COMT-D010300	COMT	D010300	Parkinson Disease
CPS1-D022124	CPS1	D022124	Hyperammonemia
CR1-D000881	CR1	D000881	Anthrax
CRBN-D000740	CRBN	D000740	Anemia
CRBN-D007918	CRBN	D007918	Leprosy
CRBN-D008224	CRBN	D008224	Lymphoma, Follicular
CRBN-D008228	CRBN	D008228	Lymphoma, Non-Hodgkin
CRBN-D009101	CRBN	D009101	Multiple Myeloma
CRBN-D009190	CRBN	D009190	Myelodysplastic Syndromes
CRBN-D012514	CRBN	D012514	Sarcoma, Kaposi
CRBN-D016393	CRBN	D016393	Lymphoma, B-Cell
CRBN-D016399	CRBN	D016399	Lymphoma, T-Cell
CRBN-D018442	CRBN	D018442	Lymphoma, B-Cell, Marginal Zone
CRBN-D020522	CRBN	D020522	Lymphoma, Mantle-Cell
CSF1R-D000690	CSF1R	D000690	Amyotrophic Lateral Sclerosis
CSF1R-D004686	CSF1R	D004686	Encephalomyocarditis virus
CSF1R-D007680	CSF1R	D007680	Kidney Neoplasms
CSF1R-D008415	CSF1R	D008415	Mastocytosis
CSF1R-D010190	CSF1R	D010190	Pancreatic Neoplasms
CSF1R-D013586	CSF1R	D013586	Synovitis, Pigmented Villonodular
CSF1R-D013921	CSF1R	D013921	Thrombocytopenia
CSF1R-D018278	CSF1R	D018278	Carcinoma, Neuroendocrine
CSF1R-D018358	CSF1R	D018358	Neuroendocrine Tumors
CSF1R-D046152	CSF1R	D046152	Gastrointestinal Stromal Tumors
CSF1R-D055728	CSF1R	D055728	Primary Myelofibrosis
CSF2RA-D000741	CSF2RA	D000741	Anemia, Aplastic
CSF2RA-D001855	CSF2RA	D001855	Bone Marrow Diseases
CSF2RA-D007938	CSF2RA	D007938	Leukemia
CSF2RA-D008545	CSF2RA	D008545	Melanoma
CSF2RA-D009503	CSF2RA	D009503	Neutropenia
CSF2RA-D011183	CSF2RA	D011183	Postoperative Complications
CSF2RA-D011832	CSF2RA	D011832	Radiation Injuries
CSF2RA-D019650	CSF2RA	D019650	Hematopoietic Stem Cell Mobilization
CSF3-D009503	CSF3	D009503	Neutropenia
CSF3R-D000740	CSF3R	D000740	Anemia
CSF3R-D000741	CSF3R	D000741	Anemia, Aplastic
CSF3R-D006086	CSF3R	D006086	Graft vs Host Disease
CSF3R-D007970	CSF3R	D007970	Leukopenia
CSF3R-D009369	CSF3R	D009369	Neoplasms
CSF3R-D009503	CSF3R	D009503	Neutropenia
CSF3R-D015470	CSF3R	D015470	Leukemia, Myeloid, Acute
CSF3R-D019650	CSF3R	D019650	Hematopoietic Stem Cell Mobilization
CSNK1E-D008224	CSNK1E	D008224	Lymphoma, Follicular
CSNK1E-D015451	CSNK1E	D015451	Leukemia, Lymphocytic, Chronic, B-Cell
CSNK1E-D018442	CSNK1E	D018442	Lymphoma, B-Cell, Marginal Zone
CTLA4-D002289	CTLA4	D002289	Carcinoma, Non-Small-Cell Lung
CTLA4-D002583	CTLA4	D002583	Uterine Cervical Neoplasms
CTLA4-D004938	CTLA4	D004938	Esophageal Neoplasms
CTLA4-D007680	CTLA4	D007680	Kidney Neoplasms
CTLA4-D008113	CTLA4	D008113	Liver Neoplasms
CTLA4-D008545	CTLA4	D008545	Melanoma
CTLA4-D008654	CTLA4	D008654	Mesothelioma
CTLA4-D013274	CTLA4	D013274	Stomach Neoplasms
CTLA4-D015179	CTLA4	D015179	Colorectal Neoplasms
CUBN-D000740	CUBN	D000740	Anemia
CUBN-D000752	CUBN	D000752	Anemia, Pernicious
CXCL8-D011565	CXCL8	D011565	Psoriasis
CXCR4-D019650	CXCR4	D019650	Hematopoietic Stem Cell Mobilization
CYBB-D008545	CYBB	D008545	Melanoma
CYBB-D015470	CYBB	D015470	Leukemia, Myeloid, Acute
CYP11B1-D047748	CYP11B1	D047748	Pituitary ACTH Hypersecretion
CYP11B2-D047748	CYP11B2	D047748	Pituitary ACTH Hypersecretion
CYP17A1-D011471	CYP17A1	D011471	Prostatic Neoplasms
CYP19A1-D001943	CYP19A1	D001943	Breast Neoplasms
CYP27B1-D011565	CYP27B1	D011565	Psoriasis
CYP3A4-D004357	CYP3A4	D004357	Drug Synergism
CYP3A4-D015658	CYP3A4	D015658	HIV Infections
CYP51A1-D047748	CYP51A1	D047748	Pituitary ACTH Hypersecretion
CYSLTR1-D001249	CYSLTR1	D001249	Asthma
CYSLTR1-D006255	CYSLTR1	D006255	Rhinitis, Allergic, Seasonal
CYSLTR1-D012221	CYSLTR1	D012221	Rhinitis, Allergic, Perennial
DBH-D010661	DBH	D010661	Phenylketonurias
DBH-D020754	DBH	D020754	Spinocerebellar Ataxias
DDC-C537437	DDC	C537437	Aromatic amino acid decarboxylase deficiency
DDC-D010300	DDC	D010300	Parkinson Disease
DHFR-D000152	DHFR	D000152	Acne Vulgaris
DHFR-D001171	DHFR	D001171	Arthritis, Juvenile
DHFR-D001172	DHFR	D001172	Arthritis, Rheumatoid
DHFR-D002289	DHFR	D002289	Carcinoma, Non-Small-Cell Lung
DHFR-D008654	DHFR	D008654	Mesothelioma
DHFR-D011565	DHFR	D011565	Psoriasis
DHFR-D015535	DHFR	D015535	Arthritis, Psoriatic
DHFR-D016411	DHFR	D016411	Lymphoma, T-Cell, Peripheral
DHFR-D054198	DHFR	D054198	Precursor Cell Lymphoblastic Leukemia-Lymphoma
DHODH-C000656924	DHODH	C000656924	scedosporiosis
DHODH-D001228	DHODH	D001228	Aspergillosis
DHODH-D003047	DHODH	D003047	Coccidioidomycosis
DHODH-D009181	DHODH	D009181	Mycoses
DHODH-D020529	DHODH	D020529	Multiple Sclerosis, Relapsing-Remitting
DMD-D020388	DMD	D020388	Muscular Dystrophy, Duchenne
DNASE1-D003550	DNASE1	D003550	Cystic Fibrosis
DPP4-D003924	DPP4	D003924	Diabetes Mellitus, Type 2
DPYSL2-D004828	DPYSL2	D004828	Epilepsies, Partial
DPYSL2-D004829	DPYSL2	D004829	Epilepsy, Generalized
DPYSL2-D004830	DPYSL2	D004830	Epilepsy, Tonic-Clonic
DRD1-D001008	DRD1	D001008	Anxiety Disorders
DRD1-D001714	DRD1	D001714	Bipolar Disorder
DRD1-D003863	DRD1	D003863	Depression
DRD1-D003865	DRD1	D003865	Depressive Disorder, Major
DRD1-D003924	DRD1	D003924	Diabetes Mellitus, Type 2
DRD1-D009765	DRD1	D009765	Obesity
DRD1-D010300	DRD1	D010300	Parkinson Disease
DRD1-D011618	DRD1	D011618	Psychotic Disorders
DRD1-D012559	DRD1	D012559	Schizophrenia
DRD2-D001008	DRD2	D001008	Anxiety Disorders
DRD2-D001321	DRD2	D001321	Autistic Disorder
DRD2-D001714	DRD2	D001714	Bipolar Disorder
DRD2-D003863	DRD2	D003863	Depression
DRD2-D003865	DRD2	D003865	Depressive Disorder, Major
DRD2-D003924	DRD2	D003924	Diabetes Mellitus, Type 2
DRD2-D004415	DRD2	D004415	Dyspepsia
DRD2-D005756	DRD2	D005756	Gastritis
DRD2-D005764	DRD2	D005764	Gastroesophageal Reflux
DRD2-D005767	DRD2	D005767	Gastrointestinal Diseases
DRD2-D005879	DRD2	D005879	Tourette Syndrome
DRD2-D007172	DRD2	D007172	Erectile Dysfunction
DRD2-D009325	DRD2	D009325	Nausea
DRD2-D009765	DRD2	D009765	Obesity
DRD2-D010300	DRD2	D010300	Parkinson Disease
DRD2-D011595	DRD2	D011595	Psychomotor Agitation
DRD2-D011618	DRD2	D011618	Psychotic Disorders
DRD2-D012148	DRD2	D012148	Restless Legs Syndrome
DRD2-D012559	DRD2	D012559	Schizophrenia
DRD2-D014839	DRD2	D014839	Vomiting
DRD2-D018589	DRD2	D018589	Gastroparesis
DRD2-D020250	DRD2	D020250	Postoperative Nausea and Vomiting
DRD2-D048909	DRD2	D048909	Diabetes Complications
DRD3-D001714	DRD3	D001714	Bipolar Disorder
DRD3-D003863	DRD3	D003863	Depression
DRD3-D003865	DRD3	D003865	Depressive Disorder, Major
DRD3-D010300	DRD3	D010300	Parkinson Disease
DRD3-D011618	DRD3	D011618	Psychotic Disorders
DRD3-D012148	DRD3	D012148	Restless Legs Syndrome
DRD3-D012559	DRD3	D012559	Schizophrenia
DRD3-D020250	DRD3	D020250	Postoperative Nausea and Vomiting
DRD4-D001714	DRD4	D001714	Bipolar Disorder
DRD4-D003863	DRD4	D003863	Depression
DRD4-D011618	DRD4	D011618	Psychotic Disorders
DRD4-D012559	DRD4	D012559	Schizophrenia
DRD4-D012735	DRD4	D012735	Sexual Dysfunction, Physiological
DRD4-D020018	DRD4	D020018	Sexual Dysfunctions, Psychological
EDNRA-D005922	EDNRA	D005922	Glomerulonephritis, IGA
EDNRA-D006976	EDNRA	D006976	Hypertension, Pulmonary
EDNRA-D013345	EDNRA	D013345	Subarachnoid Hemorrhage
EDNRA-D014456	EDNRA	D014456	Ulcer
EDNRA-D020301	EDNRA	D020301	Vasospasm, Intracranial
EDNRB-D002545	EDNRB	D002545	Brain Ischemia
EDNRB-D006976	EDNRB	D006976	Hypertension, Pulmonary
EDNRB-D014456	EDNRB	D014456	Ulcer
EDNRB-D020521	EDNRB	D020521	Stroke
EEF1A1-D009101	EEF1A1	D009101	Multiple Myeloma
EEF2-D007943	EEF2	D007943	Leukemia, Hairy Cell
EEF2-D019337	EEF2	D019337	Hematologic Neoplasms
EGF-D002289	EGF	D002289	Carcinoma, Non-Small-Cell Lung
EGFR-D001943	EGFR	D001943	Breast Neoplasms
EGFR-D002056	EGFR	D002056	Burns
EGFR-D002289	EGFR	D002289	Carcinoma, Non-Small-Cell Lung
EGFR-D006258	EGFR	D006258	Head and Neck Neoplasms
EGFR-D007680	EGFR	D007680	Kidney Neoplasms
EGFR-D013276	EGFR	D013276	Stomach Ulcer
EGFR-D013964	EGFR	D013964	Thyroid Neoplasms
EGFR-D014945	EGFR	D014945	Wound Healing
EGFR-D015179	EGFR	D015179	Colorectal Neoplasms
EGFR-D017719	EGFR	D017719	Diabetic Foot
EGLN1-D000740	EGLN1	D000740	Anemia
EGLN2-D000740	EGLN2	D000740	Anemia
EGLN3-D000740	EGLN3	D000740	Anemia
ELANE-D018746	ELANE	D018746	Systemic Inflammatory Response Syndrome
ELANE-D019896	ELANE	D019896	alpha 1-Antitrypsin Deficiency
ELANE-D055371	ELANE	D055371	Acute Lung Injury
EPAS1-D006623	EPAS1	D006623	von Hippel-Lindau Disease
EPAS1-D007680	EPAS1	D007680	Kidney Neoplasms
EPAS1-D018325	EPAS1	D018325	Hemangioblastoma
EPAS1-D018358	EPAS1	D018358	Neuroendocrine Tumors
EPCAM-D001201	EPCAM	D001201	Ascites
EPCAM-D001749	EPCAM	D001749	Urinary Bladder Neoplasms
EPHA2-D002289	EPHA2	D002289	Carcinoma, Non-Small-Cell Lung
EPOR-D000740	EPOR	D000740	Anemia
EPOR-D001172	EPOR	D001172	Arthritis, Rheumatoid
EPOR-D001778	EPOR	D001778	Blood Coagulation Disorders
ERBB2-D001749	ERBB2	D001749	Urinary Bladder Neoplasms
ERBB2-D001943	ERBB2	D001943	Breast Neoplasms
ERBB2-D002289	ERBB2	D002289	Carcinoma, Non-Small-Cell Lung
ERBB2-D004938	ERBB2	D004938	Esophageal Neoplasms
ERBB2-D013274	ERBB2	D013274	Stomach Neoplasms
ERBB2-D015179	ERBB2	D015179	Colorectal Neoplasms
ERBB3-D002289	ERBB3	D002289	Carcinoma, Non-Small-Cell Lung
ERBB4-D001943	ERBB4	D001943	Breast Neoplasms
ERBB4-D002289	ERBB4	D002289	Carcinoma, Non-Small-Cell Lung
ESR1-D001943	ESR1	D001943	Breast Neoplasms
ESR1-D003267	ESR1	D003267	Contraception
ESR1-D004414	ESR1	D004414	Dyspareunia
ESR1-D007247	ESR1	D007247	Infertility, Female
ESR1-D008113	ESR1	D008113	Liver Neoplasms
ESR1-D008593	ESR1	D008593	Menopause
ESR1-D010024	ESR1	D010024	Osteoporosis
ESR1-D011471	ESR1	D011471	Prostatic Neoplasms
ESR1-D014627	ESR1	D014627	Vaginitis
ESR1-D020249	ESR1	D020249	Hormone Replacement Therapy
ESR1-D059268	ESR1	D059268	Atrophic Vaginitis
EZH1-D016399	EZH1	D016399	Lymphoma, T-Cell
EZH1-D016411	EZH1	D016411	Lymphoma, T-Cell, Peripheral
EZH2-D008224	EZH2	D008224	Lymphoma, Follicular
EZH2-D008228	EZH2	D008228	Lymphoma, Non-Hodgkin
EZH2-D012509	EZH2	D012509	Sarcoma
EZH2-D016399	EZH2	D016399	Lymphoma, T-Cell
EZH2-D016411	EZH2	D016411	Lymphoma, T-Cell, Peripheral
F10-D000789	F10	D000789	Angina, Unstable
F10-D001168	F10	D001168	Arthritis
F10-D001281	F10	D001281	Atrial Fibrillation
F10-D002545	F10	D002545	Brain Ischemia
F10-D002836	F10	D002836	Hemophilia B
F10-D004211	F10	D004211	Disseminated Intravascular Coagulation
F10-D004485	F10	D004485	Eczema
F10-D006467	F10	D006467	Hemophilia A
F10-D006470	F10	D006470	Hemorrhage
F10-D009203	F10	D009203	Myocardial Infarction
F10-D011655	F10	D011655	Pulmonary Embolism
F10-D013514	F10	D013514	Surgical Procedures, Operative
F10-D013924	F10	D013924	Thrombophlebitis
F10-D013927	F10	D013927	Thrombosis
F10-D014689	F10	D014689	Venous Insufficiency
F10-D014945	F10	D014945	Wound Healing
F10-D020152	F10	D020152	Antithrombin III Deficiency
F10-D020246	F10	D020246	Venous Thrombosis
F10-D020521	F10	D020521	Stroke
F10-D023903	F10	D023903	Coronary Restenosis
F10-D054058	F10	D054058	Acute Coronary Syndrome
F11-D005173	F11	D005173	Factor XI Deficiency
F2-D000789	F2	D000789	Angina, Unstable
F2-D002545	F2	D002545	Brain Ischemia
F2-D002836	F2	D002836	Hemophilia B
F2-D004211	F2	D004211	Disseminated Intravascular Coagulation
F2-D006467	F2	D006467	Hemophilia A
F2-D006470	F2	D006470	Hemorrhage
F2-D007020	F2	D007020	Hypoprothrombinemias
F2-D009203	F2	D009203	Myocardial Infarction
F2-D011655	F2	D011655	Pulmonary Embolism
F2-D013514	F2	D013514	Surgical Procedures, Operative
F2-D013921	F2	D013921	Thrombocytopenia
F2-D013924	F2	D013924	Thrombophlebitis
F2-D013927	F2	D013927	Thrombosis
F2-D014689	F2	D014689	Venous Insufficiency
F2-D014945	F2	D014945	Wound Healing
F2-D020152	F2	D020152	Antithrombin III Deficiency
F2-D020246	F2	D020246	Venous Thrombosis
F2-D020521	F2	D020521	Stroke
F2-D023903	F2	D023903	Coronary Restenosis
F2-D054058	F2	D054058	Acute Coronary Syndrome
F2R-D013514	F2R	D013514	Surgical Procedures, Operative
F2R-D013927	F2R	D013927	Thrombosis
F2R-D014945	F2R	D014945	Wound Healing
F2R-D016491	F2R	D016491	Peripheral Vascular Diseases
F3-D002583	F3	D002583	Uterine Cervical Neoplasms
F7-D002836	F7	D002836	Hemophilia B
F7-D006467	F7	D006467	Hemophilia A
F7-D006470	F7	D006470	Hemorrhage
F7-D013915	F7	D013915	Thrombasthenia
F8-D001778	F8	D001778	Blood Coagulation Disorders
F8-D006467	F8	D006467	Hemophilia A
F8-D013514	F8	D013514	Surgical Procedures, Operative
F9-D001778	F9	D001778	Blood Coagulation Disorders
F9-D002836	F9	D002836	Hemophilia B
F9-D006467	F9	D006467	Hemophilia A
F9-D006470	F9	D006470	Hemorrhage
FCER2-D003876	FCER2	D003876	Dermatitis, Atopic
FCGR1A-D001201	FCGR1A	D001201	Ascites
FCGR2A-D001201	FCGR2A	D001201	Ascites
FCGR3A-D001201	FCGR3A	D001201	Ascites
FCGR3B-D001201	FCGR3B	D001201	Ascites
FCGRT-D009157	FCGRT	D009157	Myasthenia Gravis
FDPS-D010024	FDPS	D010024	Osteoporosis
FGA-D000347	FGA	D000347	Afibrinogenemia
FGA-D006470	FGA	D006470	Hemorrhage
FGA-D008595	FGA	D008595	Menorrhagia
FGA-D013514	FGA	D013514	Surgical Procedures, Operative
FGA-D014945	FGA	D014945	Wound Healing
FGB-D000347	FGB	D000347	Afibrinogenemia
FGB-D006470	FGB	D006470	Hemorrhage
FGB-D008595	FGB	D008595	Menorrhagia
FGB-D013514	FGB	D013514	Surgical Procedures, Operative
FGB-D014945	FGB	D014945	Wound Healing
FGF2-D002056	FGF2	D002056	Burns
FGF2-D012871	FGF2	D012871	Skin Diseases
FGF2-D014456	FGF2	D014456	Ulcer
FGF2-D014820	FGF2	D014820	Vitiligo
FGF2-D014945	FGF2	D014945	Wound Healing
FGF2-D018058	FGF2	D018058	Tympanic Membrane Perforation
FGF2-D065306	FGF2	D065306	Corneal Injuries
FGF23-D009372	FGF23	D009372	Neoplasms, Connective Tissue
FGF23-D010018	FGF23	D010018	Osteomalacia
FGF23-D017674	FGF23	D017674	Hypophosphatemia
FGFR1-D001650	FGFR1	D001650	Bile Duct Neoplasms
FGFR1-D001749	FGFR1	D001749	Urinary Bladder Neoplasms
FGFR1-D002056	FGFR1	D002056	Burns
FGFR1-D002289	FGFR1	D002289	Carcinoma, Non-Small-Cell Lung
FGFR1-D005185	FGFR1	D005185	Fallopian Tube Neoplasms
FGFR1-D007680	FGFR1	D007680	Kidney Neoplasms
FGFR1-D008113	FGFR1	D008113	Liver Neoplasms
FGFR1-D009196	FGFR1	D009196	Myeloproliferative Disorders
FGFR1-D009369	FGFR1	D009369	Neoplasms
FGFR1-D010051	FGFR1	D010051	Ovarian Neoplasms
FGFR1-D010190	FGFR1	D010190	Pancreatic Neoplasms
FGFR1-D010534	FGFR1	D010534	Peritoneal Neoplasms
FGFR1-D012509	FGFR1	D012509	Sarcoma
FGFR1-D013964	FGFR1	D013964	Thyroid Neoplasms
FGFR1-D014945	FGFR1	D014945	Wound Healing
FGFR1-D015464	FGFR1	D015464	Leukemia, Myelogenous, Chronic, BCR-ABL Positive
FGFR1-D015470	FGFR1	D015470	Leukemia, Myeloid, Acute
FGFR1-D016889	FGFR1	D016889	Endometrial Neoplasms
FGFR1-D018278	FGFR1	D018278	Carcinoma, Neuroendocrine
FGFR1-D018358	FGFR1	D018358	Neuroendocrine Tumors
FGFR1-D048909	FGFR1	D048909	Diabetes Complications
FGFR1-D054198	FGFR1	D054198	Precursor Cell Lymphoblastic Leukemia-Lymphoma
FGFR1-D055752	FGFR1	D055752	Small Cell Lung Carcinoma
FGFR2-D001650	FGFR2	D001650	Bile Duct Neoplasms
FGFR2-D001749	FGFR2	D001749	Urinary Bladder Neoplasms
FGFR2-D002289	FGFR2	D002289	Carcinoma, Non-Small-Cell Lung
FGFR2-D007680	FGFR2	D007680	Kidney Neoplasms
FGFR2-D008113	FGFR2	D008113	Liver Neoplasms
FGFR2-D009196	FGFR2	D009196	Myeloproliferative Disorders
FGFR2-D009369	FGFR2	D009369	Neoplasms
FGFR2-D012509	FGFR2	D012509	Sarcoma
FGFR2-D013964	FGFR2	D013964	Thyroid Neoplasms
FGFR2-D015464	FGFR2	D015464	Leukemia, Myelogenous, Chronic, BCR-ABL Positive
FGFR2-D015470	FGFR2	D015470	Leukemia, Myeloid, Acute
FGFR2-D016889	FGFR2	D016889	Endometrial Neoplasms
FGFR2-D052016	FGFR2	D052016	Mucositis
FGFR2-D054198	FGFR2	D054198	Precursor Cell Lymphoblastic Leukemia-Lymphoma
FGFR2-D055752	FGFR2	D055752	Small Cell Lung Carcinoma
FGFR3-D000690	FGFR3	D000690	Amyotrophic Lateral Sclerosis
FGFR3-D001650	FGFR3	D001650	Bile Duct Neoplasms
FGFR3-D001749	FGFR3	D001749	Urinary Bladder Neoplasms
FGFR3-D002289	FGFR3	D002289	Carcinoma, Non-Small-Cell Lung
FGFR3-D004686	FGFR3	D004686	Encephalomyocarditis virus
FGFR3-D004828	FGFR3	D004828	Epilepsies, Partial
FGFR3-D004830	FGFR3	D004830	Epilepsy, Tonic-Clonic
FGFR3-D004831	FGFR3	D004831	Epilepsies, Myoclonic
FGFR3-D005185	FGFR3	D005185	Fallopian Tube Neoplasms
FGFR3-D007680	FGFR3	D007680	Kidney Neoplasms
FGFR3-D008113	FGFR3	D008113	Liver Neoplasms
FGFR3-D008415	FGFR3	D008415	Mastocytosis
FGFR3-D009196	FGFR3	D009196	Myeloproliferative Disorders
FGFR3-D009369	FGFR3	D009369	Neoplasms
FGFR3-D010051	FGFR3	D010051	Ovarian Neoplasms
FGFR3-D010190	FGFR3	D010190	Pancreatic Neoplasms
FGFR3-D010534	FGFR3	D010534	Peritoneal Neoplasms
FGFR3-D012509	FGFR3	D012509	Sarcoma
FGFR3-D013964	FGFR3	D013964	Thyroid Neoplasms
FGFR3-D015464	FGFR3	D015464	Leukemia, Myelogenous, Chronic, BCR-ABL Positive
FGFR3-D015470	FGFR3	D015470	Leukemia, Myeloid, Acute
FGFR3-D015595	FGFR3	D015595	Skin Aging
FGFR3-D016889	FGFR3	D016889	Endometrial Neoplasms
FGFR3-D046152	FGFR3	D046152	Gastrointestinal Stromal Tumors
FGFR3-D054198	FGFR3	D054198	Precursor Cell Lymphoblastic Leukemia-Lymphoma
FGFR3-D055752	FGFR3	D055752	Small Cell Lung Carcinoma
FGFR4-D001650	FGFR4	D001650	Bile Duct Neoplasms
FGFR4-D001749	FGFR4	D001749	Urinary Bladder Neoplasms
FGFR4-D002289	FGFR4	D002289	Carcinoma, Non-Small-Cell Lung
FGFR4-D007680	FGFR4	D007680	Kidney Neoplasms
FGFR4-D008113	FGFR4	D008113	Liver Neoplasms
FGFR4-D009369	FGFR4	D009369	Neoplasms
FGFR4-D012509	FGFR4	D012509	Sarcoma
FGFR4-D013964	FGFR4	D013964	Thyroid Neoplasms
FGFR4-D015464	FGFR4	D015464	Leukemia, Myelogenous, Chronic, BCR-ABL Positive
FGFR4-D015470	FGFR4	D015470	Leukemia, Myeloid, Acute
FGFR4-D016889	FGFR4	D016889	Endometrial Neoplasms
FGFR4-D054198	FGFR4	D054198	Precursor Cell Lymphoblastic Leukemia-Lymphoma
FGFR4-D055752	FGFR4	D055752	Small Cell Lung Carcinoma
FGG-D000347	FGG	D000347	Afibrinogenemia
FGG-D006470	FGG	D006470	Hemorrhage
FGG-D008595	FGG	D008595	Menorrhagia
FGG-D013514	FGG	D013514	Surgical Procedures, Operative
FGG-D014945	FGG	D014945	Wound Healing
FKBP1A-D003233	FKBP1A	D003233	Conjunctivitis, Allergic
FKBP1A-D003876	FKBP1A	D003876	Dermatitis, Atopic
FKBP1A-D006086	FKBP1A	D006086	Graft vs Host Disease
FKBP1A-D015352	FKBP1A	D015352	Dry Eye Syndromes
FLT1-D002289	FLT1	D002289	Carcinoma, Non-Small-Cell Lung
FLT1-D004686	FLT1	D004686	Encephalomyocarditis virus
FLT1-D005185	FLT1	D005185	Fallopian Tube Neoplasms
FLT1-D007680	FLT1	D007680	Kidney Neoplasms
FLT1-D007946	FLT1	D007946	Leukemia, Mast-Cell
FLT1-D008113	FLT1	D008113	Liver Neoplasms
FLT1-D008269	FLT1	D008269	Macular Edema
FLT1-D008415	FLT1	D008415	Mastocytosis
FLT1-D009101	FLT1	D009101	Multiple Myeloma
FLT1-D009216	FLT1	D009216	Myopia
FLT1-D010051	FLT1	D010051	Ovarian Neoplasms
FLT1-D010190	FLT1	D010190	Pancreatic Neoplasms
FLT1-D010534	FLT1	D010534	Peritoneal Neoplasms
FLT1-D012509	FLT1	D012509	Sarcoma
FLT1-D013964	FLT1	D013964	Thyroid Neoplasms
FLT1-D015179	FLT1	D015179	Colorectal Neoplasms
FLT1-D015464	FLT1	D015464	Leukemia, Myelogenous, Chronic, BCR-ABL Positive
FLT1-D015470	FLT1	D015470	Leukemia, Myeloid, Acute
FLT1-D016889	FLT1	D016889	Endometrial Neoplasms
FLT1-D018278	FLT1	D018278	Carcinoma, Neuroendocrine
FLT1-D018358	FLT1	D018358	Neuroendocrine Tumors
FLT1-D046152	FLT1	D046152	Gastrointestinal Stromal Tumors
FLT1-D054198	FLT1	D054198	Precursor Cell Lymphoblastic Leukemia-Lymphoma
FLT1-D054990	FLT1	D054990	Idiopathic Pulmonary Fibrosis
FLT1-D057135	FLT1	D057135	Wet Macular Degeneration
FLT3-D004686	FLT3	D004686	Encephalomyocarditis virus
FLT3-D007680	FLT3	D007680	Kidney Neoplasms
FLT3-D007946	FLT3	D007946	Leukemia, Mast-Cell
FLT3-D008113	FLT3	D008113	Liver Neoplasms
FLT3-D008415	FLT3	D008415	Mastocytosis
FLT3-D011087	FLT3	D011087	Polycythemia Vera
FLT3-D013586	FLT3	D013586	Synovitis, Pigmented Villonodular
FLT3-D013921	FLT3	D013921	Thrombocytopenia
FLT3-D013922	FLT3	D013922	Thrombocytosis
FLT3-D013964	FLT3	D013964	Thyroid Neoplasms
FLT3-D015464	FLT3	D015464	Leukemia, Myelogenous, Chronic, BCR-ABL Positive
FLT3-D015470	FLT3	D015470	Leukemia, Myeloid, Acute
FLT3-D018358	FLT3	D018358	Neuroendocrine Tumors
FLT3-D046152	FLT3	D046152	Gastrointestinal Stromal Tumors
FLT3-D054198	FLT3	D054198	Precursor Cell Lymphoblastic Leukemia-Lymphoma
FLT3-D055728	FLT3	D055728	Primary Myelofibrosis
FLT4-D002289	FLT4	D002289	Carcinoma, Non-Small-Cell Lung
FLT4-D005185	FLT4	D005185	Fallopian Tube Neoplasms
